state_ut,district,year,murder,attempt_to_murder,culpable_homicide_not_amounting_to_murder,rape,custodial_rape,other_rape,kidnapping_and_abduction,kidnapping_and_abduction_of_women_and_girls,kidnapping_and_abduction_of_others,dacoity,preparation_and_assembly_for_dacoity,robbery,burglary,theft,auto_theft,other_theft,riots,criminal_breach_of_trust,cheating,counterfeiting,arson,hurt_grievous_hurt,dowry_deaths,assault_on_women_with_intent_to_outrage_her_modesty,insult_to_modesty_of_women,cruelty_by_husband_or_his_relatives,importation_of_girls_from_foreign_countries,causing_death_by_negligence,other_ipc_crimes,total_ipc_crimes,destrict,voilent_crime_total,women_crime_total,property_crime_total,economic_crime_total
BIHAR,GAYA,2019,270,53,5,59,0,60,226,141,37,46,6,120,228,1390,371,880,689,43,221,0,2,1247,44,3,0,192,0,369,3977,10679,GAYA,2736,499,3041,264
BIHAR,GAYA,2020,180,61,6,96,0,83,359,294,14,21,10,21,117,605,1049,101,478,31,390,4,3,1900,77,1,2,64,3,887,4136,10993,GAYA,3685,620,1924,425
BIHAR,GAYA,2020,302,54,6,63,2,63,235,145,41,45,10,115,206,1334,371,858,704,44,222,1,3,1277,49,4,1,202,1,365,4202,10925,GAYA,2820,530,2939,267
BIHAR,GAYA,2021,167,66,7,118,0,90,427,318,13,20,12,18,114,647,1252,86,504,32,400,3,2,2318,76,1,3,69,2,981,4359,12105,GAYA,4237,677,2149,435
BIHAR,GAYA,2021,297,55,6,64,3,68,234,135,42,49,11,116,208,1297,350,883,721,43,225,1,6,1263,50,4,0,216,0,350,4345,11042,GAYA,2806,540,2914,269
BIHAR,GAYA,2022,164,73,6,130,0,103,440,368,13,19,14,16,111,697,1358,79,530,33,435,3,2,2740,79,1,4,75,3,1143,4712,13351,GAYA,4865,763,2294,471
BIHAR,GAYA,2022,295,53,6,71,3,75,225,138,41,52,13,123,217,1302,353,892,711,45,237,1,7,1302,50,3,1,206,0,331,4275,11028,GAYA,2819,547,2952,283
BIHAR,GAYA,2023,153,82,5,157,0,123,481,441,13,18,15,15,109,683,1605,70,528,32,478,2,3,3387,83,0,3,68,3,1250,4691,14498,GAYA,5645,878,2515,512
BIHAR,GAYA,2023,294,53,6,77,3,83,238,139,39,49,12,131,239,1316,344,923,696,48,258,1,6,1223,55,4,0,212,0,317,4112,10878,GAYA,2721,573,3014,307
BIHAR,GOPALGANJ,2001,107,92,4,13,0,13,59,18,41,32,7,73,81,153,25,128,227,45,75,0,6,42,22,0,2,155,0,96,807,2323,GOPALGANJ,603,223,499,120
BIHAR,GOPALGANJ,2002,69,89,5,16,0,16,42,16,26,13,3,34,72,120,22,98,181,2,64,0,3,7,23,0,0,51,0,35,1206,2213,GOPALGANJ,425,122,362,66
BIHAR,GOPALGANJ,2003,65,78,6,12,0,12,34,13,21,9,2,27,46,89,15,74,164,5,55,0,4,3,14,0,6,34,0,79,1273,2140,GOPALGANJ,421,91,262,60
BIHAR,GOPALGANJ,2004,77,132,8,39,0,39,78,27,51,23,2,67,69,163,24,139,185,70,75,0,8,5,38,5,9,132,0,6,1533,3004,GOPALGANJ,490,289,487,145
BIHAR,GOPALGANJ,2005,74,209,6,24,0,24,65,51,14,10,3,53,64,205,16,189,188,77,81,0,9,4,25,2,6,49,0,52,1337,2837,GOPALGANJ,582,181,540,158
BIHAR,GOPALGANJ,2006,72,46,10,23,0,23,55,34,21,25,2,40,77,206,31,175,188,22,42,0,3,55,32,16,0,94,0,74,1275,2641,GOPALGANJ,500,222,556,64
BIHAR,GOPALGANJ,2007,48,79,6,9,0,9,21,14,7,11,0,32,59,203,39,164,193,3,49,0,12,60,22,15,0,46,0,86,1476,2663,GOPALGANJ,503,115,508,52
BIHAR,GOPALGANJ,2008,74,93,6,23,0,23,80,63,17,16,0,41,50,144,55,89,201,4,65,0,17,68,36,27,0,110,0,194,1356,2852,GOPALGANJ,695,282,395,69
BIHAR,GOPALGANJ,2009,81,127,15,37,0,37,112,71,41,13,1,21,66,226,63,163,221,22,77,0,16,86,42,39,0,127,0,195,1117,3016,GOPALGANJ,804,353,553,99
BIHAR,GOPALGANJ,2010,76,53,3,18,0,18,109,85,24,6,1,22,68,205,31,174,189,19,118,0,13,855,48,0,0,125,0,84,767,3111,GOPALGANJ,1326,294,507,137
BIHAR,GOPALGANJ,2011,77,169,0,17,0,17,139,106,33,6,0,10,65,225,86,139,276,17,166,0,26,576,35,30,0,56,0,100,1344,3715,GOPALGANJ,1250,261,531,183
BIHAR,GOPALGANJ,2012,103,37,3,20,0,20,135,89,46,13,0,17,71,274,122,152,339,51,130,1,21,2173,43,0,0,190,0,60,278,4388,GOPALGANJ,2778,362,649,182
BIHAR,GOPALGANJ,2013,81,11,2,11,0,11,125,85,40,10,0,31,103,280,104,176,417,41,95,0,18,2069,33,0,0,143,0,71,270,4227,GOPALGANJ,2695,283,704,136
BIHAR,GOPALGANJ,2014,102,34,1,17,1,17,137,99,44,14,0,16,74,298,131,153,380,59,153,0,22,2581,43,0,0,214,0,53,267,4910,GOPALGANJ,3211,391,686,212
BIHAR,GOPALGANJ,2014,90,10,3,10,0,12,129,84,47,10,0,33,109,276,105,187,407,44,103,1,19,2134,34,1,2,142,0,75,274,4341,GOPALGANJ,2763,285,720,148
BIHAR,GOPALGANJ,2015,111,31,1,16,0,16,145,98,49,15,1,15,73,327,162,147,443,70,187,0,26,3192,44,0,0,241,1,48,253,5712,GOPALGANJ,3886,416,740,257
BIHAR,GOPALGANJ,2015,91,10,3,10,0,14,126,89,48,10,2,33,109,288,101,183,390,48,108,2,19,2151,35,0,2,142,0,71,301,4386,GOPALGANJ,2761,292,726,158
BIHAR,GOPALGANJ,2016,124,27,0,13,0,14,135,100,53,14,0,14,73,357,183,143,529,78,225,0,29,3659,43,0,0,271,1,47,219,6351,GOPALGANJ,4442,442,784,303
BIHAR,GOPALGANJ,2016,88,10,1,10,1,13,135,90,49,11,1,33,111,301,111,185,407,53,112,2,20,2230,33,0,3,139,0,75,333,4557,GOPALGANJ,2854,289,753,167
BIHAR,GOPALGANJ,2017,129,24,0,11,0,14,149,108,56,14,2,14,77,355,198,140,625,90,270,0,32,4018,44,0,1,290,2,44,209,6916,GOPALGANJ,4895,470,800,360
BIHAR,GOPALGANJ,2017,99,11,1,11,0,13,138,91,49,12,0,34,119,313,122,191,423,54,111,2,22,2470,31,0,2,140,0,80,364,4903,GOPALGANJ,3126,288,791,167
BIHAR,GOPALGANJ,2018,146,21,0,10,0,11,164,124,61,13,1,13,77,354,226,142,751,99,337,0,36,4347,46,2,1,318,2,41,192,7535,GOPALGANJ,5362,514,826,436
BIHAR,GOPALGANJ,2018,94,13,2,11,0,15,141,91,52,14,1,35,123,325,123,187,426,52,113,2,21,2590,33,1,0,141,0,89,373,5068,GOPALGANJ,3258,292,808,167
BIHAR,GOPALGANJ,2019,159,20,2,8,0,9,156,131,66,14,1,13,85,387,270,128,899,119,386,0,39,5226,44,2,1,368,1,39,175,8748,GOPALGANJ,6397,564,898,505
BIHAR,GOPALGANJ,2019,99,13,1,13,1,15,138,91,58,14,0,36,133,334,121,193,409,58,124,1,23,2556,35,2,0,142,0,91,372,5073,GOPALGANJ,3217,299,831,183
BIHAR,GOPALGANJ,2020,168,20,1,5,0,8,162,143,70,15,0,11,86,402,318,124,989,141,453,0,42,6008,46,1,2,402,1,34,152,9804,GOPALGANJ,7271,608,956,594
BIHAR,GOPALGANJ,2020,97,13,1,15,1,15,139,97,56,14,1,37,144,322,128,196,392,63,127,1,25,2665,37,2,1,140,0,90,405,5224,GOPALGANJ,3310,308,842,191
BIHAR,GOPALGANJ,2021,184,21,2,5,0,7,186,148,75,14,0,11,87,427,373,128,1160,169,513,0,46,6507,48,0,5,472,1,28,131,10748,GOPALGANJ,7955,686,1040,682
BIHAR,GOPALGANJ,2021,99,13,2,16,2,16,142,101,59,15,0,36,148,339,128,217,415,64,124,1,26,2651,36,3,1,145,1,93,426,5319,GOPALGANJ,3325,321,883,189
BIHAR,GOPALGANJ,2022,205,19,2,5,0,6,204,158,78,16,1,10,90,451,444,130,1325,199,604,1,49,7804,48,1,4,557,1,24,113,12549,GOPALGANJ,9432,780,1142,804
BIHAR,GOPALGANJ,2022,96,14,3,16,2,16,140,98,61,16,0,39,160,344,134,220,369,69,121,1,29,2592,39,4,1,150,2,95,441,5272,GOPALGANJ,3224,328,913,191
BIHAR,GOPALGANJ,2023,210,17,4,4,0,6,213,175,81,16,2,10,99,471,526,131,1653,228,694,2,52,8767,51,0,5,599,2,21,93,14132,GOPALGANJ,10727,842,1255,924
BIHAR,GOPALGANJ,2023,101,15,4,17,4,16,141,92,65,17,0,43,166,326,141,228,398,69,126,4,32,2651,33,5,1,157,1,95,421,5369,GOPALGANJ,3314,326,921,199
BIHAR,JAMALPUR RLY.,2001,7,0,0,1,0,1,4,0,4,9,2,13,1,117,4,113,0,0,3,0,0,0,0,1,0,1,0,4,62,347,JAMALPUR RLY.,12,4,259,3
BIHAR,JAMALPUR RLY.,2002,6,5,2,0,0,0,5,1,4,10,1,7,3,121,3,118,3,0,3,0,0,0,1,2,0,0,0,0,70,365,JAMALPUR RLY.,17,4,263,3
BIHAR,JAMALPUR RLY.,2003,9,1,0,1,0,1,4,0,4,9,2,7,0,137,2,135,13,1,6,0,1,25,0,0,0,0,0,0,21,379,JAMALPUR RLY.,49,2,292,7
BIHAR,JAMALPUR RLY.,2004,10,6,0,0,0,0,1,1,0,25,2,4,3,171,2,169,5,5,4,0,0,3,3,1,0,0,0,0,85,500,JAMALPUR RLY.,27,5,376,9
BIHAR,JAMALPUR RLY.,2005,7,1,0,0,0,0,3,1,2,13,1,7,0,108,6,102,3,0,7,0,0,0,0,1,0,0,0,0,44,306,JAMALPUR RLY.,11,2,237,7
BIHAR,JAMALPUR RLY.,2006,4,0,0,0,0,0,0,0,0,7,1,5,0,100,11,89,4,0,1,0,0,0,0,0,0,0,0,1,45,268,JAMALPUR RLY.,9,0,213,1
BIHAR,JAMALPUR RLY.,2007,6,3,0,1,0,1,2,0,2,11,1,10,0,59,7,52,4,0,1,0,0,0,0,2,0,0,0,0,92,254,JAMALPUR RLY.,14,4,140,1
BIHAR,JAMALPUR RLY.,2008,10,0,0,1,0,1,4,0,4,8,1,3,0,123,8,115,7,0,1,0,0,0,1,0,0,0,0,0,64,351,JAMALPUR RLY.,19,3,258,1
BIHAR,JAMALPUR RLY.,2009,6,2,0,1,0,1,3,0,3,7,3,11,1,124,7,117,4,1,3,0,0,0,0,2,0,0,0,0,64,360,JAMALPUR RLY.,13,4,270,4
BIHAR,JAMALPUR RLY.,2010,3,1,1,0,0,0,7,3,4,11,2,7,1,148,18,130,6,0,4,0,0,0,0,3,0,0,0,0,52,401,JAMALPUR RLY.,11,6,317,4
BIHAR,JAMALPUR RLY.,2011,6,0,2,0,0,0,3,0,3,5,0,2,2,190,7,183,6,0,1,0,0,0,0,2,0,1,0,0,70,483,JAMALPUR RLY.,14,3,389,1
BIHAR,JAMALPUR RLY.,2012,8,9,0,1,0,1,2,0,2,3,0,8,0,186,16,170,4,0,0,0,0,28,0,0,0,0,0,0,15,453,JAMALPUR RLY.,50,2,383,0
BIHAR,JAMALPUR RLY.,2013,8,0,0,1,0,1,3,0,3,2,0,8,1,223,13,210,3,0,0,0,0,22,0,0,0,1,0,0,34,533,JAMALPUR RLY.,34,3,457,0
BIHAR,JAMALPUR RLY.,2014,9,10,0,2,0,0,1,0,3,4,1,8,0,219,21,191,3,1,1,2,2,28,0,2,0,0,0,0,13,521,JAMALPUR RLY.,52,4,444,4
BIHAR,JAMALPUR RLY.,2014,7,0,0,0,1,2,2,0,2,2,0,10,1,204,16,221,6,0,0,1,0,24,1,0,3,2,0,0,35,540,JAMALPUR RLY.,38,9,454,1
BIHAR,JAMALPUR RLY.,2015,9,12,0,3,1,1,0,0,3,5,2,7,0,250,24,221,3,0,2,1,2,32,0,3,0,1,0,0,12,594,JAMALPUR RLY.,59,9,509,3
BIHAR,JAMALPUR RLY.,2015,9,0,0,0,2,3,0,2,2,2,1,11,3,198,16,218,6,0,0,1,0,22,2,0,3,2,0,1,33,537,JAMALPUR RLY.,40,14,449,1
BIHAR,JAMALPUR RLY.,2016,8,13,1,3,0,2,0,1,2,5,3,7,0,290,25,257,3,1,1,2,2,38,0,2,1,2,0,0,12,681,JAMALPUR RLY.,66,11,587,4
BIHAR,JAMALPUR RLY.,2016,8,0,0,0,2,4,0,2,4,2,2,11,2,212,16,215,7,1,0,1,0,22,1,0,2,3,0,0,33,550,JAMALPUR RLY.,38,14,460,2
BIHAR,JAMALPUR RLY.,2017,7,15,1,4,0,2,1,2,2,3,3,7,0,315,31,287,2,0,1,2,2,42,0,3,0,2,1,0,11,746,JAMALPUR RLY.,71,14,646,3
BIHAR,JAMALPUR RLY.,2017,8,0,0,2,2,3,0,3,7,2,2,10,2,203,15,217,6,0,1,1,0,21,0,0,2,5,0,0,35,547,JAMALPUR RLY.,37,17,451,2
BIHAR,JAMALPUR RLY.,2018,8,17,1,4,0,4,1,3,1,2,2,8,0,341,36,314,2,0,1,1,3,50,0,3,1,3,0,1,10,817,JAMALPUR RLY.,83,18,703,2
BIHAR,JAMALPUR RLY.,2018,9,0,1,1,2,4,0,3,8,2,2,9,3,194,17,230,5,2,3,2,0,20,1,0,2,4,1,0,34,559,JAMALPUR RLY.,37,18,457,7
BIHAR,JAMALPUR RLY.,2019,10,19,1,3,0,5,2,4,2,4,1,5,2,394,42,358,1,1,1,4,3,55,0,3,0,2,0,1,9,932,JAMALPUR RLY.,90,17,806,6
BIHAR,JAMALPUR RLY.,2019,11,1,0,1,1,3,0,3,11,1,5,10,3,208,18,223,4,2,3,2,0,22,0,2,2,4,0,0,36,576,JAMALPUR RLY.,39,16,468,7
BIHAR,JAMALPUR RLY.,2020,10,23,0,3,2,5,3,4,4,3,0,5,1,443,46,385,1,0,3,2,3,63,1,3,1,3,0,2,7,1026,JAMALPUR RLY.,103,22,883,5
BIHAR,JAMALPUR RLY.,2020,12,1,0,1,1,3,1,3,10,3,4,13,3,202,19,229,3,2,4,1,0,22,1,4,3,2,0,1,36,584,JAMALPUR RLY.,41,18,473,7
BIHAR,JAMALPUR RLY.,2021,11,25,0,4,4,6,5,4,2,3,3,4,0,493,53,444,0,1,3,3,3,69,1,3,1,3,0,1,6,1155,JAMALPUR RLY.,111,26,1000,7
BIHAR,JAMALPUR RLY.,2021,13,1,0,3,2,4,2,3,10,2,6,12,6,203,18,238,2,3,5,0,1,23,2,6,5,2,0,0,36,608,JAMALPUR RLY.,44,27,485,8
BIHAR,JAMALPUR RLY.,2022,14,29,0,3,6,5,3,4,2,3,3,5,2,584,59,511,0,1,2,3,2,77,2,2,3,4,1,0,7,1337,JAMALPUR RLY.,125,30,1167,6
BIHAR,JAMALPUR RLY.,2022,12,2,1,3,0,6,2,4,10,1,7,11,6,207,17,258,1,3,5,1,4,25,2,5,6,2,0,1,34,636,JAMALPUR RLY.,47,28,507,9
BIHAR,JAMALPUR RLY.,2023,14,33,1,4,7,6,2,4,1,3,4,4,1,672,74,588,0,0,3,0,3,88,1,4,3,5,0,0,9,1534,JAMALPUR RLY.,141,34,1346,3
BIHAR,JAMALPUR RLY.,2023,13,1,2,3,0,6,2,3,12,0,6,13,6,200,18,266,1,3,7,0,4,26,4,4,5,0,1,1,35,642,JAMALPUR RLY.,51,26,509,10
BIHAR,JAMUI,2001,67,74,3,10,0,10,14,1,13,22,1,14,40,81,1,80,134,10,7,1,1,225,16,8,0,15,0,14,289,1151,JAMUI,543,60,239,18
BIHAR,JAMUI,2002,56,203,3,15,0,15,38,13,25,8,0,34,39,106,8,98,142,0,18,0,12,94,21,0,0,19,0,27,213,1207,JAMUI,561,83,293,18
BIHAR,JAMUI,2003,64,25,0,24,0,24,34,7,27,32,0,25,50,81,2,79,115,0,9,0,10,127,11,12,0,34,0,35,367,1194,JAMUI,401,112,269,9
BIHAR,JAMUI,2004,79,74,0,31,0,31,71,11,60,31,0,26,39,77,6,71,152,6,47,0,13,313,11,29,0,45,0,24,320,1567,JAMUI,684,158,250,53
BIHAR,JAMUI,2005,93,52,2,33,0,33,46,13,33,39,3,44,49,102,4,98,109,6,29,0,59,205,22,20,0,48,0,21,427,1590,JAMUI,537,169,339,35
BIHAR,JAMUI,2006,69,82,12,29,0,29,28,14,14,25,4,61,42,112,5,107,166,13,18,0,19,179,15,7,2,19,0,4,650,1725,JAMUI,556,115,356,31
BIHAR,JAMUI,2007,51,30,1,46,0,46,31,14,17,20,2,26,44,104,6,98,166,17,42,1,16,340,8,12,0,20,0,48,568,1774,JAMUI,690,146,300,60
BIHAR,JAMUI,2008,56,127,3,17,0,17,38,21,17,16,6,21,38,138,13,125,163,5,47,0,21,756,32,25,0,41,0,32,206,1981,JAMUI,1186,153,357,52
BIHAR,JAMUI,2009,65,156,2,15,0,15,35,21,14,14,2,30,53,148,26,122,181,3,71,0,5,821,17,7,0,56,0,53,523,2455,JAMUI,1310,131,395,74
BIHAR,JAMUI,2010,81,143,19,20,0,20,57,29,28,20,0,42,46,150,25,125,139,8,32,0,21,634,17,33,0,48,0,93,277,2107,JAMUI,1146,167,408,40
BIHAR,JAMUI,2011,66,140,18,23,0,23,71,28,43,19,0,28,51,184,33,151,174,12,50,0,32,589,13,34,0,40,0,56,302,2180,JAMUI,1079,161,466,62
BIHAR,JAMUI,2012,79,137,16,27,0,27,56,43,13,15,0,34,55,149,27,122,181,18,55,0,16,482,18,2,0,65,0,62,285,1984,JAMUI,1002,182,402,73
BIHAR,JAMUI,2013,54,183,2,24,0,24,62,37,25,15,0,19,50,96,18,78,211,17,36,0,14,514,19,2,0,104,0,193,327,2124,JAMUI,1200,210,276,53
BIHAR,JAMUI,2014,90,139,20,31,0,33,68,45,14,15,0,37,54,145,28,123,187,23,53,0,18,424,18,1,0,66,0,62,238,1932,JAMUI,971,194,402,76
BIHAR,JAMUI,2014,55,191,3,26,2,26,64,38,27,14,0,19,49,94,18,83,221,17,36,1,14,527,21,2,0,117,1,204,304,2174,JAMUI,1248,233,277,54
BIHAR,JAMUI,2015,91,133,24,37,2,38,79,52,14,14,0,40,57,144,28,126,185,26,45,0,22,375,18,1,0,74,0,70,200,1895,JAMUI,933,222,409,71
BIHAR,JAMUI,2015,52,196,2,30,4,26,64,42,27,15,0,19,52,96,20,85,235,18,38,0,14,500,23,2,0,116,1,200,313,2190,JAMUI,1238,244,287,56
BIHAR,JAMUI,2016,96,122,28,41,1,47,90,62,13,13,2,40,58,138,27,125,196,30,43,1,26,311,20,1,0,81,0,78,186,1876,JAMUI,892,253,403,74
BIHAR,JAMUI,2016,48,198,3,29,4,26,67,42,27,18,0,21,49,100,20,88,235,20,37,0,16,535,21,3,0,125,0,180,340,2252,JAMUI,1249,250,296,57
BIHAR,JAMUI,2017,100,121,35,47,0,56,97,68,13,14,2,43,64,144,29,141,206,34,37,0,31,314,20,2,1,82,0,80,161,1942,JAMUI,923,276,437,71
BIHAR,JAMUI,2017,49,212,4,31,6,27,70,40,31,18,2,21,49,101,20,94,238,19,35,0,17,560,22,4,0,126,0,176,341,2313,JAMUI,1292,256,305,54
BIHAR,JAMUI,2018,111,116,42,55,0,62,117,77,12,15,2,47,68,140,32,133,220,41,32,0,34,291,20,3,0,83,2,84,155,1994,JAMUI,939,302,437,73
BIHAR,JAMUI,2018,51,224,2,31,5,28,65,45,33,18,2,21,45,105,21,99,247,19,35,0,20,535,22,5,0,127,2,177,333,2317,JAMUI,1289,265,311,54
BIHAR,JAMUI,2019,119,109,50,61,0,74,125,87,13,17,2,53,69,139,35,137,214,48,30,1,39,283,21,3,1,86,3,90,137,2046,JAMUI,947,336,452,79
BIHAR,JAMUI,2019,49,250,2,32,4,27,66,47,32,18,1,23,48,95,22,107,253,20,36,0,23,554,22,6,0,121,2,181,375,2416,JAMUI,1343,261,314,56
BIHAR,JAMUI,2020,121,88,56,74,1,82,152,98,12,18,2,55,64,125,32,139,208,59,29,0,47,229,21,2,2,89,2,105,132,2044,JAMUI,902,371,435,88
BIHAR,JAMUI,2020,52,256,4,30,3,28,73,52,33,19,2,26,50,90,21,106,248,20,37,0,25,550,20,6,1,126,4,173,391,2446,JAMUI,1333,270,314,57
BIHAR,JAMUI,2021,131,81,66,82,1,86,165,116,13,20,1,60,69,115,34,137,200,71,27,0,50,194,20,2,3,94,3,116,130,2087,JAMUI,890,407,436,98
BIHAR,JAMUI,2021,55,247,4,30,3,31,72,56,32,21,0,27,55,94,21,116,266,21,36,0,25,524,20,7,2,123,5,165,377,2435,JAMUI,1311,277,334,57
BIHAR,JAMUI,2022,130,71,76,94,2,95,187,122,14,22,1,70,74,120,33,140,202,88,25,0,57,165,19,2,4,105,4,124,116,2162,JAMUI,881,447,460,113
BIHAR,JAMUI,2022,57,259,4,28,4,33,70,54,36,23,0,27,57,101,21,125,286,19,36,0,25,505,20,8,4,133,4,169,392,2500,JAMUI,1328,288,354,55
BIHAR,JAMUI,2023,138,68,93,106,1,110,203,140,13,23,3,69,76,120,36,151,208,104,25,0,69,139,18,4,4,112,3,123,113,2272,JAMUI,893,498,478,129
BIHAR,JAMUI,2023,60,277,4,28,5,36,73,56,35,24,0,28,59,108,19,120,290,22,36,0,27,533,20,9,4,137,4,166,403,2583,JAMUI,1378,299,358,58
BIHAR,JEHANABAD,2001,73,80,2,6,0,6,35,5,30,15,2,22,53,121,10,111,170,0,51,0,0,0,25,0,0,4,0,0,694,1515,JEHANABAD,356,46,334,51
BIHAR,JEHANABAD,2002,73,55,1,7,0,7,32,9,23,28,1,20,34,123,8,115,169,0,35,0,0,0,21,0,0,5,0,12,702,1480,JEHANABAD,338,49,329,35
BIHAR,JEHANABAD,2003,64,101,1,9,0,9,40,5,35,33,0,35,40,146,7,139,79,13,40,0,18,24,16,0,0,34,0,20,967,1875,JEHANABAD,314,73,400,53
BIHAR,JEHANABAD,2004,68,50,2,6,0,6,38,8,30,32,3,34,50,130,13,117,98,15,35,0,12,290,6,19,0,25,0,30,487,1604,JEHANABAD,550,70,379,50
BIHAR,JEHANABAD,2005,52,52,2,16,0,16,19,2,17,35,0,35,60,150,18,132,95,3,14,0,13,81,7,14,0,17,0,31,495,1376,JEHANABAD,336,72,430,17
BIHAR,JEHANABAD,2006,39,14,1,10,0,10,20,1,19,16,0,15,22,96,13,83,71,11,12,0,6,22,15,5,0,5,0,13,694,1213,JEHANABAD,185,46,245,23
BIHAR,JEHANABAD,2007,40,16,3,7,0,7,27,18,9,11,1,16,26,85,1,84,87,10,18,0,8,65,19,7,0,24,0,47,802,1438,JEHANABAD,284,82,224,28
BIHAR,JEHANABAD,2008,35,10,5,6,0,6,38,19,19,15,0,18,25,132,9,123,127,3,10,0,0,20,23,0,0,17,0,52,988,1700,JEHANABAD,278,71,322,13
BIHAR,JEHANABAD,2009,48,10,2,8,0,8,40,9,31,10,0,12,40,128,17,111,127,20,25,0,6,117,43,11,0,42,0,44,859,1768,JEHANABAD,399,121,318,45
BIHAR,JEHANABAD,2010,43,13,3,8,0,8,42,11,31,13,3,13,63,246,62,184,149,20,54,2,10,152,33,10,0,30,0,59,866,2128,JEHANABAD,460,100,584,76
BIHAR,JEHANABAD,2011,51,10,7,10,0,10,31,14,17,1,0,19,60,181,58,123,135,10,30,9,4,79,20,8,0,22,0,58,913,1880,JEHANABAD,370,84,442,49
BIHAR,JEHANABAD,2012,46,12,2,8,0,8,47,41,6,4,0,14,29,160,30,130,103,7,17,0,3,647,24,0,0,37,0,36,252,1663,JEHANABAD,878,118,367,24
BIHAR,JEHANABAD,2013,34,0,2,14,0,14,37,26,11,13,0,22,37,194,14,180,141,20,67,2,11,708,30,5,0,57,0,60,522,2221,JEHANABAD,989,146,460,89
BIHAR,JEHANABAD,2014,50,12,3,9,1,9,55,47,6,3,0,15,26,196,34,134,92,6,17,0,3,712,21,1,2,37,1,33,260,1785,JEHANABAD,932,128,408,23
BIHAR,JEHANABAD,2014,35,0,3,15,0,14,40,25,11,14,0,22,35,209,15,191,137,20,64,4,13,751,31,6,0,58,0,59,504,2276,JEHANABAD,1031,149,486,88
BIHAR,JEHANABAD,2015,48,15,3,8,1,9,50,56,8,2,1,16,24,215,39,140,82,5,17,0,2,727,19,0,2,38,0,33,247,1807,JEHANABAD,935,133,437,22
BIHAR,JEHANABAD,2015,35,0,3,14,0,14,41,25,12,16,0,23,36,207,17,189,147,20,65,4,11,879,28,7,2,62,0,59,502,2418,JEHANABAD,1165,152,488,89
BIHAR,JEHANABAD,2016,50,17,3,9,1,10,53,63,5,2,3,15,19,221,44,148,76,3,15,0,3,830,17,0,2,37,0,28,192,1866,JEHANABAD,1030,139,452,18
BIHAR,JEHANABAD,2016,35,0,3,13,0,16,40,23,10,17,0,22,40,237,17,189,146,21,70,4,10,944,28,7,1,65,0,57,536,2551,JEHANABAD,1226,153,522,95
BIHAR,JEHANABAD,2017,50,19,3,10,1,10,55,77,3,1,5,17,16,247,46,155,70,2,14,1,4,965,14,0,3,38,0,28,179,2033,JEHANABAD,1159,153,487,17
BIHAR,JEHANABAD,2017,32,1,4,14,0,17,42,26,10,20,0,22,38,227,18,189,157,21,77,5,10,1058,30,8,1,69,1,54,543,2694,JEHANABAD,1350,166,514,103
BIHAR,JEHANABAD,2018,49,20,2,9,2,9,60,83,3,0,6,20,14,270,55,167,71,4,11,0,2,1079,13,0,2,36,0,25,160,2172,JEHANABAD,1268,154,532,15
BIHAR,JEHANABAD,2018,32,2,3,15,0,17,41,24,9,20,0,23,40,239,17,181,168,21,83,7,9,1004,27,8,0,71,0,55,524,2640,JEHANABAD,1306,162,520,111
BIHAR,JEHANABAD,2019,44,20,0,7,2,8,62,96,3,0,4,22,12,283,61,185,72,4,11,0,2,1288,12,1,1,33,0,24,144,2401,JEHANABAD,1467,160,567,15
BIHAR,JEHANABAD,2019,35,2,2,16,0,17,42,25,8,22,1,23,43,250,17,181,180,22,97,8,10,1064,30,10,0,74,0,59,534,2772,JEHANABAD,1388,172,537,127
BIHAR,JEHANABAD,2020,48,21,2,8,3,9,64,116,4,0,4,22,11,303,73,193,63,2,10,0,1,1566,10,0,0,32,0,25,146,2736,JEHANABAD,1743,178,606,12
BIHAR,JEHANABAD,2020,36,3,2,16,1,18,42,26,9,21,1,22,42,261,18,185,193,22,105,10,9,1117,32,10,0,77,2,60,583,2923,JEHANABAD,1459,182,550,137
BIHAR,JEHANABAD,2021,50,22,4,6,3,10,62,132,2,1,5,23,9,344,87,205,57,2,11,0,0,1805,9,1,1,29,0,23,142,3045,JEHANABAD,1976,191,674,13
BIHAR,JEHANABAD,2021,36,4,4,16,2,18,44,27,8,22,1,23,46,280,16,190,193,24,107,11,10,1183,30,11,0,82,2,61,601,3052,JEHANABAD,1527,188,578,142
BIHAR,JEHANABAD,2022,52,22,3,6,2,10,69,152,0,2,5,26,10,390,101,248,53,2,10,0,0,2176,8,0,0,29,0,24,131,3531,JEHANABAD,2344,207,782,12
BIHAR,JEHANABAD,2022,40,5,4,17,0,18,43,28,9,21,1,25,50,276,16,192,201,23,110,12,10,1147,31,12,1,84,2,62,600,3040,JEHANABAD,1507,193,581,145
BIHAR,JEHANABAD,2023,49,24,3,6,2,9,76,183,1,2,7,27,9,402,128,280,51,2,8,1,0,2292,8,0,1,28,0,22,116,3737,JEHANABAD,2455,237,855,11
BIHAR,JEHANABAD,2023,39,5,4,17,0,19,43,28,9,21,3,27,52,287,14,174,191,24,113,13,12,1112,31,13,0,82,1,65,588,2987,JEHANABAD,1464,191,578,150
BIHAR,KATIHAR,2001,60,47,2,51,0,51,49,20,29,49,0,30,49,146,13,133,193,26,23,5,1,64,6,6,0,29,0,71,904,2057,KATIHAR,494,163,420,54
