state_ut,district,year,voilent_crime_total,women_crime_total,property_crime_total,economic_crime_total,total_ipc_crimes
ASSAM,SIBSAGAR,2018,1267,814,1243,188,4761
ASSAM,SIBSAGAR,2019,1103,1336,1055,295,4959
ASSAM,SIBSAGAR,2019,1268,856,1274,181,4758
ASSAM,SIBSAGAR,2020,1201,1509,1084,358,5404
ASSAM,SIBSAGAR,2020,1298,854,1299,187,4872
ASSAM,SIBSAGAR,2021,1292,1714,1105,414,5913
ASSAM,SIBSAGAR,2021,1288,832,1363,200,4898
ASSAM,SIBSAGAR,2022,1506,1974,1089,476,6522
ASSAM,SIBSAGAR,2022,1315,899,1337,211,5047
ASSAM,SIBSAGAR,2023,1730,2329,1129,519,7299
ASSAM,SIBSAGAR,2023,1405,963,1436,223,5332
ASSAM,SONITPUR,2001,847,329,938,44,2805
ASSAM,SONITPUR,2002,822,451,889,93,2782
ASSAM,SONITPUR,2003,787,423,942,89,2833
ASSAM,SONITPUR,2004,1004,507,1021,87,3226
ASSAM,SONITPUR,2005,814,411,1218,97,3484
ASSAM,SONITPUR,2006,622,386,961,66,2710
ASSAM,SONITPUR,2007,690,398,1080,72,3336
ASSAM,SONITPUR,2008,564,571,1096,75,3422
ASSAM,SONITPUR,2009,743,642,904,104,3517
ASSAM,SONITPUR,2010,781,666,880,125,3738
ASSAM,SONITPUR,2011,876,815,983,118,4375
ASSAM,SONITPUR,2012,1059,588,1196,111,4782
ASSAM,SONITPUR,2013,1263,752,1308,172,5053
ASSAM,SONITPUR,2014,1112,609,1340,117,5197
ASSAM,SONITPUR,2014,1239,760,1365,187,5173
ASSAM,SONITPUR,2015,1147,626,1441,118,5673
ASSAM,SONITPUR,2015,1262,776,1325,191,5200
ASSAM,SONITPUR,2016,1240,666,1529,134,6225
ASSAM,SONITPUR,2016,1280,781,1307,193,5269
ASSAM,SONITPUR,2017,1353,708,1636,137,6808
ASSAM,SONITPUR,2017,1290,827,1285,205,5288
ASSAM,SONITPUR,2018,1524,727,1770,152,7653
ASSAM,SONITPUR,2018,1286,861,1312,215,5322
ASSAM,SONITPUR,2019,1653,750,1935,175,8598
ASSAM,SONITPUR,2019,1340,895,1326,228,5578
ASSAM,SONITPUR,2020,1882,827,2051,195,9526
ASSAM,SONITPUR,2020,1364,941,1274,237,5630
ASSAM,SONITPUR,2021,2156,910,2163,216,11003
ASSAM,SONITPUR,2021,1391,935,1255,254,5656
ASSAM,SONITPUR,2022,2347,950,2312,236,12255
ASSAM,SONITPUR,2022,1398,935,1268,254,5718
ASSAM,SONITPUR,2023,2738,998,2525,269,14147
ASSAM,SONITPUR,2023,1436,968,1319,269,5934
ASSAM,STF,2013,0,0,0,0,13
ASSAM,STF,2014,3,4,5,4,31
ASSAM,STF,2015,2,6,4,4,34
ASSAM,STF,2016,4,7,8,2,40
ASSAM,STF,2017,7,13,6,3,46
ASSAM,STF,2018,8,19,6,4,53
ASSAM,STF,2019,13,29,7,7,71
ASSAM,STF,2020,13,33,8,7,77
ASSAM,STF,2021,17,35,10,7,88
ASSAM,STF,2022,20,36,9,8,95
ASSAM,STF,2023,23,43,8,7,104
ASSAM,TINSUKIA,2001,502,162,869,22,1834
ASSAM,TINSUKIA,2002,464,151,862,47,1855
ASSAM,TINSUKIA,2003,376,136,533,32,1359
ASSAM,TINSUKIA,2004,493,226,812,44,1971
ASSAM,TINSUKIA,2005,239,191,879,31,2250
ASSAM,TINSUKIA,2006,460,154,2798,43,3884
ASSAM,TINSUKIA,2007,240,291,1197,60,2900
ASSAM,TINSUKIA,2008,408,274,1517,92,3162
ASSAM,TINSUKIA,2009,383,275,1457,69,3170
ASSAM,TINSUKIA,2010,494,358,1308,89,3024
ASSAM,TINSUKIA,2011,631,406,954,115,2899
ASSAM,TINSUKIA,2012,489,451,1186,102,3264
ASSAM,TINSUKIA,2013,390,536,1221,98,3893
ASSAM,TINSUKIA,2014,510,515,1085,120,3285
ASSAM,TINSUKIA,2014,410,545,1309,107,4096
ASSAM,TINSUKIA,2015,540,568,1024,124,3424
ASSAM,TINSUKIA,2015,422,537,1308,108,4129
ASSAM,TINSUKIA,2016,590,631,945,132,3559
ASSAM,TINSUKIA,2016,440,550,1320,109,4247
ASSAM,TINSUKIA,2017,622,716,917,149,3751
ASSAM,TINSUKIA,2017,439,545,1278,119,4303
ASSAM,TINSUKIA,2018,664,814,869,170,3891
ASSAM,TINSUKIA,2018,431,562,1333,124,4595
ASSAM,TINSUKIA,2019,731,907,845,193,4029
ASSAM,TINSUKIA,2019,448,600,1409,128,4756
ASSAM,TINSUKIA,2020,792,1033,792,209,4259
ASSAM,TINSUKIA,2020,458,647,1439,136,4910
ASSAM,TINSUKIA,2021,871,1165,761,239,4571
ASSAM,TINSUKIA,2021,447,641,1445,136,4922
ASSAM,TINSUKIA,2022,972,1303,766,259,4980
ASSAM,TINSUKIA,2022,454,643,1486,143,5068
ASSAM,TINSUKIA,2023,1052,1485,772,286,5328
ASSAM,TINSUKIA,2023,444,663,1453,147,5050
ASSAM,TOTAL,2001,13521,4865,14390,995,44541
ASSAM,TOTAL,2002,12562,5971,14712,1334,44466
ASSAM,TOTAL,2003,13257,6293,14676,1563,46443
ASSAM,TOTAL,2004,14697,6807,15172,1508,49618
ASSAM,TOTAL,2005,14512,7158,15800,1463,51364
ASSAM,TOTAL,2006,13998,7985,19426,1464,54562
ASSAM,TOTAL,2007,14122,8244,18918,1663,56444
ASSAM,TOTAL,2008,14421,9520,20125,1767,65022
ASSAM,TOTAL,2009,14666,11275,19389,1984,67306
ASSAM,TOTAL,2010,14370,13214,20100,2431,74499
ASSAM,TOTAL,2011,15225,13162,21091,2475,80487
ASSAM,TOTAL,2012,18266,15186,23793,3044,92604
ASSAM,TOTAL,2014,19707,17098,24375,3511,102971
ASSAM,TOTAL,2015,20961,19503,25194,3901,112585
ASSAM,TOTAL,2016,21606,22304,27509,4597,127359
ASSAM,TOTAL,2017,23539,25017,30561,5370,141452
ASSAM,TOTAL,2018,25352,29386,32688,5908,160883
ASSAM,TOTAL,2019,26565,32427,34806,6583,172509
ASSAM,TOTAL,2020,27049,35325,37716,7038,188639
ASSAM,TOTAL,2021,28842,39744,39660,8180,213998
ASSAM,TOTAL,2022,31213,44793,43248,9244,237762
ASSAM,TOTAL,2023,34038,50498,46216,9915,264491
ASSAM,UDALGURI,2005,206,133,284,11,861
ASSAM,UDALGURI,2006,195,109,212,13,696
ASSAM,UDALGURI,2007,137,90,273,16,750
ASSAM,UDALGURI,2008,234,156,311,23,1075
ASSAM,UDALGURI,2009,183,157,305,13,1048
ASSAM,UDALGURI,2010,337,159,220,6,1031
ASSAM,UDALGURI,2011,271,175,227,29,1123
ASSAM,UDALGURI,2012,285,179,260,34,1005
ASSAM,UDALGURI,2013,361,225,326,56,1341
ASSAM,UDALGURI,2014,312,186,254,38,1028
ASSAM,UDALGURI,2014,371,229,339,58,1379
ASSAM,UDALGURI,2015,344,194,250,45,1047
ASSAM,UDALGURI,2015,378,227,351,57,1402
ASSAM,UDALGURI,2016,371,198,251,49,1058
ASSAM,UDALGURI,2016,410,224,363,56,1450
ASSAM,UDALGURI,2017,442,213,258,54,1140
ASSAM,UDALGURI,2017,409,228,387,57,1493
ASSAM,UDALGURI,2018,472,224,268,65,1194
ASSAM,UDALGURI,2018,418,238,402,65,1544
ASSAM,UDALGURI,2019,532,245,271,74,1273
ASSAM,UDALGURI,2019,422,244,412,69,1606
ASSAM,UDALGURI,2020,618,256,279,83,1374
ASSAM,UDALGURI,2020,448,258,425,72,1671
ASSAM,UDALGURI,2021,680,275,290,94,1472
ASSAM,UDALGURI,2021,478,262,461,76,1762
ASSAM,UDALGURI,2022,758,287,309,102,1576
ASSAM,UDALGURI,2022,507,274,467,87,1846
ASSAM,UDALGURI,2023,881,305,329,115,1742
ASSAM,UDALGURI,2023,534,291,488,90,1892
ASSAM,ZZ TOTAL,2013,17758,19327,26499,4114,104439
ASSAM,ZZ TOTAL,2014,18857,20462,25992,4073,106124
ASSAM,ZZ TOTAL,2015,18326,21093,25157,4109,107392
ASSAM,ZZ TOTAL,2016,18992,20850,25871,3991,107466
ASSAM,ZZ TOTAL,2017,18920,21419,27303,4090,109477
ASSAM,ZZ TOTAL,2018,19416,22542,27923,3932,112492
ASSAM,ZZ TOTAL,2019,20254,23707,28477,4084,117754
ASSAM,ZZ TOTAL,2020,20226,24352,29267,4187,122637
ASSAM,ZZ TOTAL,2021,20934,25005,29905,4316,124786
ASSAM,ZZ TOTAL,2022,21987,26052,30246,4408,131161
ASSAM,ZZ TOTAL,2023,22644,26469,30447,4519,132866
BIHAR,ARARIA,2001,593,263,485,73,2402
BIHAR,ARARIA,2002,668,318,353,32,2386
BIHAR,ARARIA,2003,526,133,501,60,2346
BIHAR,ARARIA,2004,691,141,511,125,2339
BIHAR,ARARIA,2005,559,132,383,71,1953
BIHAR,ARARIA,2006,653,177,462,168,2924
BIHAR,ARARIA,2007,678,247,615,75,3206
BIHAR,ARARIA,2008,753,236,625,72,3218
BIHAR,ARARIA,2009,448,149,630,61,2465
BIHAR,ARARIA,2010,543,201,617,113,2793
BIHAR,ARARIA,2011,638,293,652,45,3360
BIHAR,ARARIA,2012,1079,252,504,50,2921
BIHAR,ARARIA,2013,546,240,651,47,3268
BIHAR,ARARIA,2014,1199,269,462,58,2931
BIHAR,ARARIA,2014,548,242,664,50,3382
BIHAR,ARARIA,2015,1324,302,443,62,3083
BIHAR,ARARIA,2015,580,244,664,54,3520
BIHAR,ARARIA,2016,1506,347,422,68,3273
BIHAR,ARARIA,2016,598,250,691,53,3503
BIHAR,ARARIA,2017,1716,404,421,74,3552
BIHAR,ARARIA,2017,626,259,708,55,3764
BIHAR,ARARIA,2018,2011,463,403,74,3892
BIHAR,ARARIA,2018,637,272,732,59,4043
BIHAR,ARARIA,2019,2209,551,394,81,4216
BIHAR,ARARIA,2019,662,281,757,62,4029
BIHAR,ARARIA,2020,2491,625,391,84,4594
BIHAR,ARARIA,2020,666,301,759,63,4070
BIHAR,ARARIA,2021,2781,710,397,89,4980
BIHAR,ARARIA,2021,658,307,775,67,4213
BIHAR,ARARIA,2022,3228,833,392,109,5564
BIHAR,ARARIA,2022,688,315,814,73,4287
BIHAR,ARARIA,2023,3772,920,388,134,6252
BIHAR,ARARIA,2023,721,322,827,72,4416
BIHAR,ARWAL,2001,415,32,81,16,628
BIHAR,ARWAL,2002,389,22,105,7,654
BIHAR,ARWAL,2003,207,38,99,3,645
BIHAR,ARWAL,2004,161,30,146,6,552
BIHAR,ARWAL,2005,155,14,127,10,569
BIHAR,ARWAL,2006,290,38,135,13,627
BIHAR,ARWAL,2007,124,33,133,25,607
BIHAR,ARWAL,2008,136,35,130,32,765
BIHAR,ARWAL,2009,158,39,127,13,728
BIHAR,ARWAL,2010,178,41,202,7,870
BIHAR,ARWAL,2011,284,59,200,29,906
BIHAR,ARWAL,2012,547,69,156,27,949
BIHAR,ARWAL,2013,165,92,187,30,1026
BIHAR,ARWAL,2014,585,80,169,27,1006
BIHAR,ARWAL,2014,174,96,193,31,1054
BIHAR,ARWAL,2015,697,92,180,29,1136
BIHAR,ARWAL,2015,183,102,196,34,1118
BIHAR,ARWAL,2016,813,102,206,30,1292
BIHAR,ARWAL,2016,187,105,199,34,1181
BIHAR,ARWAL,2017,960,112,224,32,1470
BIHAR,ARWAL,2017,193,111,201,32,1192
BIHAR,ARWAL,2018,1078,130,249,34,1624
BIHAR,ARWAL,2018,185,108,205,32,1180
BIHAR,ARWAL,2019,1215,141,256,35,1785
BIHAR,ARWAL,2019,192,111,208,37,1214
BIHAR,ARWAL,2020,1359,176,274,41,1983
BIHAR,ARWAL,2020,194,112,209,40,1243
BIHAR,ARWAL,2021,1659,194,294,44,2323
BIHAR,ARWAL,2021,208,114,213,44,1272
BIHAR,ARWAL,2022,1887,220,305,45,2596
BIHAR,ARWAL,2022,209,121,215,47,1405
BIHAR,ARWAL,2023,2160,253,327,50,2941
BIHAR,ARWAL,2023,214,129,225,53,1468
BIHAR,AURANGABAD,2001,431,103,391,43,1833
BIHAR,AURANGABAD,2002,457,70,376,38,2475
BIHAR,AURANGABAD,2003,445,92,381,15,2500
BIHAR,AURANGABAD,2004,370,136,595,23,2681
BIHAR,AURANGABAD,2005,1576,95,636,9,2576
BIHAR,AURANGABAD,2006,1233,140,673,22,2546
BIHAR,AURANGABAD,2007,1559,179,717,114,2839
BIHAR,AURANGABAD,2008,2272,208,782,185,3774
BIHAR,AURANGABAD,2009,1535,190,864,74,3532
BIHAR,AURANGABAD,2010,1020,203,821,84,3423
BIHAR,AURANGABAD,2011,1114,310,787,242,3788
BIHAR,AURANGABAD,2012,1976,241,810,137,3702
BIHAR,AURANGABAD,2013,1967,296,886,152,4091
BIHAR,AURANGABAD,2014,2187,264,796,148,3923
BIHAR,AURANGABAD,2014,1968,296,904,151,4128
BIHAR,AURANGABAD,2015,2327,290,826,175,4115
BIHAR,AURANGABAD,2015,2025,300,953,155,4323
BIHAR,AURANGABAD,2016,2532,315,815,196,4309
BIHAR,AURANGABAD,2016,2080,299,950,160,4399
BIHAR,AURANGABAD,2017,2683,340,835,222,4493
BIHAR,AURANGABAD,2017,2036,301,922,154,4346
BIHAR,AURANGABAD,2018,2875,381,848,262,4749
BIHAR,AURANGABAD,2018,1876,311,936,162,4194
BIHAR,AURANGABAD,2019,3069,429,868,300,5061
BIHAR,AURANGABAD,2019,1791,313,957,168,4129
BIHAR,AURANGABAD,2020,3478,481,840,334,5537
BIHAR,AURANGABAD,2020,1866,313,1018,172,4298
BIHAR,AURANGABAD,2021,3836,563,859,391,6044
BIHAR,AURANGABAD,2021,1862,315,1033,182,4333
BIHAR,AURANGABAD,2022,4198,641,908,461,6605
BIHAR,AURANGABAD,2022,1974,324,1092,186,4583
BIHAR,AURANGABAD,2023,4386,723,922,544,6991
BIHAR,AURANGABAD,2023,2037,329,1079,189,4712
BIHAR,BAGAHA,2001,550,62,247,16,1108
BIHAR,BAGAHA,2002,585,58,283,19,1174
BIHAR,BAGAHA,2003,234,65,225,49,1083
BIHAR,BAGAHA,2004,639,85,178,44,1154
BIHAR,BAGAHA,2005,604,49,223,43,1137
BIHAR,BAGAHA,2006,482,91,343,40,1383
BIHAR,BAGAHA,2007,409,128,373,66,2255
BIHAR,BAGAHA,2008,704,127,523,62,2720
BIHAR,BAGAHA,2009,763,121,327,50,1688
BIHAR,BAGAHA,2010,546,131,277,69,1734
BIHAR,BAGAHA,2011,512,116,328,137,1836
BIHAR,BAGAHA,2012,279,137,310,65,1942
BIHAR,BAGAHA,2013,182,180,406,64,2305
BIHAR,BAGAHA,2014,291,158,320,72,2075
BIHAR,BAGAHA,2014,188,186,413,66,2336
BIHAR,BAGAHA,2015,310,186,333,78,2358
BIHAR,BAGAHA,2015,190,192,411,63,2404
BIHAR,BAGAHA,2016,349,205,343,86,2597
BIHAR,BAGAHA,2016,196,200,433,65,2519
BIHAR,BAGAHA,2017,368,232,347,95,2787
BIHAR,BAGAHA,2017,208,226,455,60,2783
BIHAR,BAGAHA,2018,394,273,340,105,3230
BIHAR,BAGAHA,2018,210,229,453,63,2889
BIHAR,BAGAHA,2019,429,301,356,119,3655
BIHAR,BAGAHA,2019,207,234,471,63,2749
BIHAR,BAGAHA,2020,484,334,359,136,4148
BIHAR,BAGAHA,2020,212,260,490,64,2879
BIHAR,BAGAHA,2021,549,387,381,155,4673
BIHAR,BAGAHA,2021,219,270,515,70,3036
BIHAR,BAGAHA,2022,604,432,380,168,5286
BIHAR,BAGAHA,2022,222,271,525,68,3177
BIHAR,BAGAHA,2023,707,500,420,198,6407
BIHAR,BAGAHA,2023,227,276,518,71,2967
BIHAR,BANKA,2001,360,103,287,7,1520
BIHAR,BANKA,2002,417,91,312,10,1647
BIHAR,BANKA,2003,352,86,296,21,1383
BIHAR,BANKA,2004,379,155,335,33,1561
BIHAR,BANKA,2005,387,135,332,34,1554
BIHAR,BANKA,2006,482,207,325,44,1745
BIHAR,BANKA,2007,472,230,360,76,2127
BIHAR,BANKA,2008,856,199,410,39,2086
BIHAR,BANKA,2009,740,155,425,46,2044
BIHAR,BANKA,2010,662,123,371,12,2014
BIHAR,BANKA,2011,757,173,352,46,1992
BIHAR,BANKA,2012,1246,133,357,60,2006
BIHAR,BANKA,2013,656,234,422,80,2354
BIHAR,BANKA,2014,1377,141,337,67,2117
BIHAR,BANKA,2014,676,239,418,82,2391
BIHAR,BANKA,2015,1525,152,327,75,2259
BIHAR,BANKA,2015,674,243,420,89,2372
BIHAR,BANKA,2016,1736,160,318,82,2463
BIHAR,BANKA,2016,702,258,447,92,2414
BIHAR,BANKA,2017,1875,166,316,88,2596
BIHAR,BANKA,2017,717,250,459,90,2336
BIHAR,BANKA,2018,2139,177,303,96,2858
BIHAR,BANKA,2018,707,269,478,94,2361
BIHAR,BANKA,2019,2413,181,296,106,3120
BIHAR,BANKA,2019,737,280,504,94,2390
BIHAR,BANKA,2020,2751,193,295,117,3469
BIHAR,BANKA,2020,769,274,523,102,2483
BIHAR,BANKA,2021,3188,204,300,128,3924
BIHAR,BANKA,2021,816,279,517,115,2581
BIHAR,BANKA,2022,3574,223,301,145,4346
BIHAR,BANKA,2022,829,281,554,112,2689
BIHAR,BANKA,2023,3853,238,311,163,4660
BIHAR,BANKA,2023,825,285,542,103,2702
BIHAR,BEGUSARAI,2001,523,107,691,52,2959
BIHAR,BEGUSARAI,2002,760,141,678,64,3402
BIHAR,BEGUSARAI,2003,592,129,734,44,3309
BIHAR,BEGUSARAI,2004,714,129,820,150,3579
BIHAR,BEGUSARAI,2005,768,139,629,110,2782
BIHAR,BEGUSARAI,2006,1231,194,784,161,3291
BIHAR,BEGUSARAI,2007,1277,180,794,99,3636
BIHAR,BEGUSARAI,2008,1128,184,705,148,3666
BIHAR,BEGUSARAI,2009,1235,168,748,167,3781
BIHAR,BEGUSARAI,2010,1750,178,793,107,4471
BIHAR,BEGUSARAI,2011,1461,218,809,127,3901
BIHAR,BEGUSARAI,2012,2279,241,1024,67,4296
BIHAR,BEGUSARAI,2013,1365,349,1358,162,6107
BIHAR,BEGUSARAI,2014,2565,273,1096,66,4650
BIHAR,BEGUSARAI,2014,1392,348,1353,160,6171
BIHAR,BEGUSARAI,2015,2775,305,1186,61,4966
BIHAR,BEGUSARAI,2015,1428,333,1368,175,6258
BIHAR,BEGUSARAI,2016,2905,341,1321,55,5269
BIHAR,BEGUSARAI,2016,1398,337,1424,179,6494
BIHAR,BEGUSARAI,2017,3271,370,1462,46,5816
BIHAR,BEGUSARAI,2017,1470,334,1399,167,6267
BIHAR,BEGUSARAI,2018,3751,421,1567,44,6465
BIHAR,BEGUSARAI,2018,1435,330,1436,168,6381
BIHAR,BEGUSARAI,2019,4081,474,1713,39,7030
BIHAR,BEGUSARAI,2019,1403,324,1558,179,6677
BIHAR,BEGUSARAI,2020,4341,551,1891,37,7624
BIHAR,BEGUSARAI,2020,1419,318,1632,184,6964
BIHAR,BEGUSARAI,2021,5003,628,2029,36,8575
BIHAR,BEGUSARAI,2021,1446,339,1710,185,7308
BIHAR,BEGUSARAI,2022,5498,744,2211,34,9457
BIHAR,BEGUSARAI,2022,1509,346,1727,197,7458
BIHAR,BEGUSARAI,2023,6261,837,2397,30,10589
BIHAR,BEGUSARAI,2023,1559,363,1789,216,8106
BIHAR,BETTIAH,2001,1355,165,665,69,3165
BIHAR,BETTIAH,2002,2244,275,753,125,3684
BIHAR,BETTIAH,2003,1929,204,500,30,3319
BIHAR,BETTIAH,2004,3690,495,735,468,5890
BIHAR,BETTIAH,2005,1992,192,760,126,3546
BIHAR,BETTIAH,2006,1968,249,771,166,3531
BIHAR,BETTIAH,2007,1539,124,483,52,2934
BIHAR,BETTIAH,2008,615,238,569,117,3634
BIHAR,BETTIAH,2009,1531,198,661,103,3583
BIHAR,BETTIAH,2010,1212,214,817,191,4242
BIHAR,BETTIAH,2011,701,229,1022,127,4487
BIHAR,BETTIAH,2012,3255,259,1474,190,5927
BIHAR,BETTIAH,2013,1063,406,1415,226,6110
BIHAR,BETTIAH,2014,3628,293,1753,224,6616
BIHAR,BETTIAH,2014,1120,423,1443,223,6390
BIHAR,BETTIAH,2015,4266,335,2026,249,7602
BIHAR,BETTIAH,2015,1186,448,1495,226,6783
BIHAR,BETTIAH,2016,4615,384,2272,291,8292
BIHAR,BETTIAH,2016,1188,479,1590,230,6747
BIHAR,BETTIAH,2017,5337,427,2563,335,9393
BIHAR,BETTIAH,2017,1211,473,1614,239,7093
BIHAR,BETTIAH,2018,5895,484,2883,372,10392
BIHAR,BETTIAH,2018,1285,492,1566,255,6962
BIHAR,BETTIAH,2019,7087,531,3280,420,12094
BIHAR,BETTIAH,2019,1283,489,1562,232,7081
BIHAR,BETTIAH,2020,7855,622,3836,474,13585
BIHAR,BETTIAH,2020,1312,490,1556,244,7103
BIHAR,BETTIAH,2021,9299,705,4144,552,15555
BIHAR,BETTIAH,2021,1342,504,1544,238,7217
BIHAR,BETTIAH,2022,10490,803,4821,624,17714
BIHAR,BETTIAH,2022,1345,520,1564,246,7504
BIHAR,BETTIAH,2023,12472,911,5627,729,20744
BIHAR,BETTIAH,2023,1385,522,1527,265,7508
BIHAR,BHABHUA,2001,417,69,525,31,1605
BIHAR,BHABHUA,2002,338,76,414,41,1707
BIHAR,BHABHUA,2003,527,73,449,65,1453
BIHAR,BHABHUA,2004,542,113,419,88,1645
BIHAR,BHABHUA,2005,434,64,383,70,1461
BIHAR,BHABHUA,2006,378,100,510,37,1677
BIHAR,BHABHUA,2007,760,91,471,65,1977
BIHAR,BHABHUA,2008,476,91,474,79,2001
BIHAR,BHABHUA,2009,325,68,496,41,2022
BIHAR,BHABHUA,2010,549,90,515,44,2140
BIHAR,BHABHUA,2011,654,136,536,48,2310
BIHAR,BHABHUA,2012,1218,121,549,47,2160
BIHAR,BHABHUA,2013,1110,160,483,34,2131
BIHAR,BHABHUA,2014,1409,142,576,50,2421
BIHAR,BHABHUA,2014,1117,168,498,34,2161
BIHAR,BHABHUA,2015,1502,167,607,52,2542
BIHAR,BHABHUA,2015,1136,166,530,34,2215
BIHAR,BHABHUA,2016,1659,184,628,62,2732
BIHAR,BHABHUA,2016,1125,172,552,37,2236
BIHAR,BHABHUA,2017,1956,209,669,69,3072
BIHAR,BHABHUA,2017,1178,175,581,38,2327
BIHAR,BHABHUA,2018,2295,240,692,78,3454
BIHAR,BHABHUA,2018,1164,180,610,41,2353
BIHAR,BHABHUA,2019,2636,269,742,86,3872
BIHAR,BHABHUA,2019,1193,190,610,44,2394
BIHAR,BHABHUA,2020,3023,308,773,90,4328
BIHAR,BHABHUA,2020,1192,192,620,46,2397
BIHAR,BHABHUA,2021,3396,366,842,104,4840
BIHAR,BHABHUA,2021,1245,202,649,46,2459
BIHAR,BHABHUA,2022,3886,400,930,115,5455
BIHAR,BHABHUA,2022,1259,207,681,45,2527
BIHAR,BHABHUA,2023,4487,456,1006,132,6195
BIHAR,BHABHUA,2023,1266,221,663,45,2516
BIHAR,BHAGALPUR,2001,495,166,950,70,3105
BIHAR,BHAGALPUR,2002,493,186,1035,89,3329
BIHAR,BHAGALPUR,2003,621,300,929,121,3521
BIHAR,BHAGALPUR,2004,660,436,1019,177,3913
BIHAR,BHAGALPUR,2005,616,290,979,137,3674
BIHAR,BHAGALPUR,2006,975,191,1073,138,4104
BIHAR,BHAGALPUR,2007,1121,181,1014,98,3546
BIHAR,BHAGALPUR,2008,1206,355,1572,143,5180
BIHAR,BHAGALPUR,2009,923,164,1190,89,3840
BIHAR,BHAGALPUR,2010,1048,198,1223,122,3861
BIHAR,BHAGALPUR,2011,1218,179,966,91,3549
BIHAR,BHAGALPUR,2012,1377,315,924,154,3657
BIHAR,BHAGALPUR,2013,824,399,1086,114,4244
BIHAR,BHAGALPUR,2014,1499,359,862,180,3720
BIHAR,BHAGALPUR,2014,816,408,1105,120,4243
BIHAR,BHAGALPUR,2015,1644,429,838,204,3907
BIHAR,BHAGALPUR,2015,837,425,1114,121,4349
BIHAR,BHAGALPUR,2016,1837,484,837,222,4100
BIHAR,BHAGALPUR,2016,834,432,1202,125,4455
BIHAR,BHAGALPUR,2017,2042,548,771,232,4283
BIHAR,BHAGALPUR,2017,847,445,1234,126,4478
BIHAR,BHAGALPUR,2018,2343,635,753,255,4669
BIHAR,BHAGALPUR,2018,891,435,1252,134,4590
BIHAR,BHAGALPUR,2019,2701,726,758,296,5127
BIHAR,BHAGALPUR,2019,887,432,1252,140,4644
BIHAR,BHAGALPUR,2020,3102,844,746,326,5662
BIHAR,BHAGALPUR,2020,894,449,1302,151,4722
BIHAR,BHAGALPUR,2021,3432,968,763,380,6201
BIHAR,BHAGALPUR,2021,907,465,1351,154,5007
BIHAR,BHAGALPUR,2022,3889,1126,786,440,6925
BIHAR,BHAGALPUR,2022,902,470,1399,162,5270
BIHAR,BHAGALPUR,2023,4295,1312,763,512,7648
BIHAR,BHAGALPUR,2023,945,484,1420,166,5469
BIHAR,BHOJPUR,2001,1070,113,623,31,3088
BIHAR,BHOJPUR,2002,415,186,681,93,3328
BIHAR,BHOJPUR,2003,534,138,643,115,3094
BIHAR,BHOJPUR,2004,768,171,770,58,4119
BIHAR,BHOJPUR,2005,1173,180,783,66,3198
BIHAR,BHOJPUR,2006,1279,193,802,51,3531
BIHAR,BHOJPUR,2007,2059,307,838,159,3544
BIHAR,BHOJPUR,2008,2348,294,787,270,4270
BIHAR,BHOJPUR,2009,667,390,1046,80,4241
BIHAR,BHOJPUR,2010,976,319,1088,117,4514
BIHAR,BHOJPUR,2011,794,194,836,170,3995
BIHAR,BHOJPUR,2012,2648,181,840,90,4274
BIHAR,BHOJPUR,2013,3108,317,1036,257,5458
BIHAR,BHOJPUR,2014,3115,187,792,93,4669
BIHAR,BHOJPUR,2014,3287,332,1082,283,5751
BIHAR,BHOJPUR,2015,3701,196,732,101,5196
BIHAR,BHOJPUR,2015,3317,336,1119,295,5821
BIHAR,BHOJPUR,2016,4168,200,668,103,5561
BIHAR,BHOJPUR,2016,3467,339,1164,300,6057
BIHAR,BHOJPUR,2017,4633,206,652,105,6006
BIHAR,BHOJPUR,2017,3548,354,1218,314,6286
BIHAR,BHOJPUR,2018,5131,226,600,109,6474
BIHAR,BHOJPUR,2018,3636,362,1223,325,6384
BIHAR,BHOJPUR,2019,6163,251,569,113,7513
BIHAR,BHOJPUR,2019,3681,352,1297,335,6473
BIHAR,BHOJPUR,2020,7287,269,526,110,8619
BIHAR,BHOJPUR,2020,3525,349,1261,341,6187
BIHAR,BHOJPUR,2021,7946,297,485,107,9275
BIHAR,BHOJPUR,2021,3642,353,1264,338,6311
BIHAR,BHOJPUR,2022,9144,312,481,116,10518
BIHAR,BHOJPUR,2022,3716,376,1311,334,6412
BIHAR,BHOJPUR,2023,9925,348,486,116,11390
BIHAR,BHOJPUR,2023,3925,395,1345,359,6784
BIHAR,BUXAR,2001,427,32,517,57,1895
BIHAR,BUXAR,2002,595,66,507,43,2079
BIHAR,BUXAR,2003,614,79,516,32,1404
BIHAR,BUXAR,2004,956,103,637,124,2603
BIHAR,BUXAR,2005,767,135,747,104,1992
BIHAR,BUXAR,2006,857,136,665,87,1991
BIHAR,BUXAR,2007,555,139,423,79,1678
BIHAR,BUXAR,2008,464,108,654,54,1817
BIHAR,BUXAR,2009,838,166,542,69,2163
BIHAR,BUXAR,2010,932,137,742,39,2547
BIHAR,BUXAR,2011,1089,180,673,126,2579
BIHAR,BUXAR,2012,828,255,768,148,2982
BIHAR,BUXAR,2013,1049,211,991,118,3341
BIHAR,BUXAR,2014,849,298,886,167,3303
BIHAR,BUXAR,2014,1036,220,1016,119,3386
BIHAR,BUXAR,2015,875,349,969,193,3660
