state_ut,year,voilent_crime_total,women_crime_total,property_crime_total,economic_crime_total,total_ipc_crimes
MEGHALAYA,2005,946,386,2554,120,4934
MEGHALAYA,2006,1000,498,2412,212,5072
MEGHALAYA,2007,960,506,2630,386,5426
MEGHALAYA,2008,1106,586,3268,292,6262
MEGHALAYA,2009,1176,696,2738,296,6322
MEGHALAYA,2010,1130,814,3208,278,6778
MEGHALAYA,2011,1300,794,3298,462,7336
MEGHALAYA,2012,1264,824,2660,330,6712
MEGHALAYA,2013,1798,1044,3082,476,8396
MEGHALAYA,2014,3205,1975,5897,828,15754
MEGHALAYA,2015,3323,2112,6016,863,16130
MEGHALAYA,2016,3491,2274,6237,915,16911
MEGHALAYA,2017,3655,2480,6365,946,17638
MEGHALAYA,2018,3866,2711,6511,1007,18398
MEGHALAYA,2019,4056,2885,6662,1083,19147
MEGHALAYA,2020,4330,3143,6882,1159,20230
MEGHALAYA,2021,4654,3442,7132,1216,21281
MEGHALAYA,2022,5036,3801,7354,1291,22524
MEGHALAYA,2023,5441,4147,7711,1376,24037
MIZORAM,2001,446,352,4398,212,6356
MIZORAM,2002,524,460,4912,254,7804
MIZORAM,2003,590,402,6238,182,9642
MIZORAM,2004,320,212,2972,112,4320
MIZORAM,2005,420,262,4010,148,5966
MIZORAM,2006,442,394,3910,236,5818
MIZORAM,2007,542,468,4156,204,5956
MIZORAM,2008,600,476,3684,212,5644
MIZORAM,2009,586,464,3818,200,5800
MIZORAM,2010,668,524,4180,232,6196
MIZORAM,2011,538,472,3622,178,5276
MIZORAM,2012,598,604,3126,120,4964
MIZORAM,2013,514,532,3334,156,4896
MIZORAM,2014,1187,1227,6454,278,10045
MIZORAM,2015,1272,1336,6494,285,10300
MIZORAM,2016,1348,1467,6379,282,10383
MIZORAM,2017,1430,1600,6283,276,10445
MIZORAM,2018,1544,1746,6272,287,10637
MIZORAM,2019,1628,1903,6248,289,10782
MIZORAM,2020,1717,2054,6323,303,11092
MIZORAM,2021,1810,2192,6366,303,11353
MIZORAM,2022,1906,2401,6471,327,11793
MIZORAM,2023,2010,2643,6673,337,12328
NAGALAND,2001,448,92,1638,112,3064
NAGALAND,2002,476,78,1546,68,2830
NAGALAND,2003,488,76,1296,42,2498
NAGALAND,2004,436,88,1422,78,2560
NAGALAND,2005,436,100,1546,126,2772
NAGALAND,2006,570,114,1648,130,2968
NAGALAND,2007,584,82,1840,110,3140
NAGALAND,2008,632,130,1820,102,3220
NAGALAND,2009,372,130,1752,84,2960
NAGALAND,2010,338,110,1844,110,3044
NAGALAND,2011,388,118,1718,104,3000
NAGALAND,2012,416,136,1764,130,3038
NAGALAND,2013,574,194,1800,154,3386
NAGALAND,2014,1081,411,3729,311,6835
NAGALAND,2015,1185,486,3907,339,7282
NAGALAND,2016,1284,563,4041,379,7673
NAGALAND,2017,1366,643,4158,418,8082
NAGALAND,2018,1477,705,4334,463,8537
NAGALAND,2019,1598,759,4532,497,8997
NAGALAND,2020,1692,792,4652,534,9330
NAGALAND,2021,1815,831,4905,573,9854
NAGALAND,2022,1955,861,5133,622,10439
NAGALAND,2023,2138,939,5340,689,11113
ODISHA,2001,21314,11374,31032,1952,107190
ODISHA,2002,25322,10044,29282,2102,108420
ODISHA,2003,24228,10496,29524,2404,107684
ODISHA,2004,24800,10910,32232,2180,112004
ODISHA,2005,28014,13144,35494,2744,119736
ODISHA,2006,28190,12744,35506,3386,122096
ODISHA,2007,33938,13486,36590,3224,126884
ODISHA,2008,35064,16142,39310,3224,132390
ODISHA,2009,30898,16368,38280,2858,129658
ODISHA,2010,33196,17118,39906,2918,132144
ODISHA,2011,35908,18918,45126,3302,144504
ODISHA,2012,38994,23868,49608,3886,161174
ODISHA,2013,45224,27924,52150,5220,171928
ODISHA,2014,89197,55265,107951,9834,350578
ODISHA,2015,93838,58166,114382,10751,370273
ODISHA,2016,98090,63117,121525,11494,389534
ODISHA,2017,102812,67438,128740,11959,407426
ODISHA,2018,105965,72771,135257,13050,426710
ODISHA,2019,112183,79560,143895,13941,452728
ODISHA,2020,120000,86741,154870,15145,487343
ODISHA,2021,128796,95274,168890,16216,522402
ODISHA,2022,137508,105069,184771,17683,563515
ODISHA,2023,147199,115997,197657,19188,604414
PUDUCHERRY,2001,1938,174,2344,62,9218
PUDUCHERRY,2002,3122,234,2378,90,9958
PUDUCHERRY,2003,2916,210,2546,90,10208
PUDUCHERRY,2004,2728,208,2710,88,10536
PUDUCHERRY,2005,2602,222,2010,98,10106
PUDUCHERRY,2006,2798,296,2418,88,10548
PUDUCHERRY,2007,2810,344,3342,104,11740
PUDUCHERRY,2008,2656,250,2978,136,11404
PUDUCHERRY,2009,2686,188,3028,118,10642
PUDUCHERRY,2010,2502,192,2314,184,8978
PUDUCHERRY,2011,2590,170,3010,134,10176
PUDUCHERRY,2012,2576,118,2858,210,9942
PUDUCHERRY,2013,2200,176,2556,188,8816
PUDUCHERRY,2014,6015,448,6833,462,23710
PUDUCHERRY,2015,6032,489,6884,505,23635
PUDUCHERRY,2016,6029,524,6951,540,23796
PUDUCHERRY,2017,6096,552,7207,591,24088
PUDUCHERRY,2018,5936,599,7364,636,24171
PUDUCHERRY,2019,5850,634,7572,697,24453
PUDUCHERRY,2020,6052,683,7826,805,25209
PUDUCHERRY,2021,6034,745,8041,903,25440
PUDUCHERRY,2022,6243,800,8127,996,25872
PUDUCHERRY,2023,6299,877,8507,1102,26390
PUNJAB,2001,16430,5252,16416,6094,63216
PUNJAB,2002,17540,5096,16194,6256,65214
PUNJAB,2003,16608,5394,17490,7044,65596
PUNJAB,2004,17482,4608,14244,6204,58140
PUNJAB,2005,17400,4608,15992,6626,61872
PUNJAB,2006,20956,5218,20872,7480,74094
PUNJAB,2007,21880,6324,26458,7956,84490
PUNJAB,2008,21918,6194,28152,7012,84224
PUNJAB,2009,22856,6148,28120,6790,84744
PUNJAB,2010,21822,6678,28004,7690,86858
PUNJAB,2011,21812,6134,24926,7820,81654
PUNJAB,2012,20788,7662,27634,7578,85322
PUNJAB,2013,20102,11484,25550,8268,87428
PUNJAB,2014,43512,21027,56242,17171,185677
PUNJAB,2015,43819,22278,56590,17653,188313
PUNJAB,2016,44954,23313,58106,18358,194324
PUNJAB,2017,45400,24453,60418,19353,198476
PUNJAB,2018,45892,25661,61264,20348,204446
PUNJAB,2019,47184,27291,64149,21044,211930
PUNJAB,2020,48356,29115,66788,22074,220374
PUNJAB,2021,49916,31121,69661,22660,228403
PUNJAB,2022,50954,33341,73307,23197,239052
PUNJAB,2023,52849,35911,76786,24847,250805
RAJASTHAN,2001,95180,26212,84302,15518,351782
RAJASTHAN,2002,86408,25970,80202,16574,342398
RAJASTHAN,2003,80076,25442,79432,16370,330646
RAJASTHAN,2004,78824,27968,88744,18566,354246
RAJASTHAN,2005,70644,24848,83466,18084,323602
RAJASTHAN,2006,67516,27542,83256,21882,325872
RAJASTHAN,2007,66516,30568,89568,25600,343260
RAJASTHAN,2008,69246,31328,93056,25770,350596
RAJASTHAN,2009,71596,37328,101156,31876,386196
RAJASTHAN,2010,66652,39176,100710,34818,379674
RAJASTHAN,2011,64582,43002,95070,36588,383450
RAJASTHAN,2012,64190,45910,104300,40754,399108
RAJASTHAN,2013,69856,62038,129648,46936,466846
RAJASTHAN,2014,144924,117228,256779,97239,926321
RAJASTHAN,2015,144801,123889,259678,102864,939033
RAJASTHAN,2016,148217,130895,267919,108894,971767
RAJASTHAN,2017,151377,137635,274941,113327,1000522
RAJASTHAN,2018,152156,144538,285064,118637,1024675
RAJASTHAN,2019,156460,150187,290339,128079,1048691
RAJASTHAN,2020,157857,157774,299754,137106,1076875
RAJASTHAN,2021,161264,166167,313071,143029,1104705
RAJASTHAN,2022,166655,172811,324849,153955,1144668
RAJASTHAN,2023,169190,183495,341812,166678,1194162
SIKKIM,2001,180,64,454,28,1064
SIKKIM,2002,196,68,398,102,1128
SIKKIM,2003,236,92,366,44,1036
SIKKIM,2004,426,102,430,54,1424
SIKKIM,2005,430,160,506,100,1308
SIKKIM,2006,412,134,638,96,1688
SIKKIM,2007,388,154,650,88,1636
SIKKIM,2008,392,136,686,104,1762
SIKKIM,2009,472,116,442,36,1510
SIKKIM,2010,336,114,372,48,1258
SIKKIM,2011,404,140,418,76,1388
SIKKIM,2012,388,204,610,70,1378
SIKKIM,2013,560,272,670,64,2064
SIKKIM,2014,996,552,1358,149,3657
SIKKIM,2015,1030,598,1469,170,3894
SIKKIM,2016,1057,663,1594,190,4137
SIKKIM,2017,1125,733,1714,222,4376
SIKKIM,2018,1178,812,1847,251,4691
SIKKIM,2019,1240,917,1993,259,4988
SIKKIM,2020,1282,1021,2111,293,5279
SIKKIM,2021,1336,1124,2350,324,5720
SIKKIM,2022,1423,1253,2558,367,6191
SIKKIM,2023,1544,1426,2832,401,6799
TAMIL NADU,2001,93348,10516,80438,5206,345770
TAMIL NADU,2002,88392,13344,87794,4852,374464
TAMIL NADU,2003,94570,12850,83854,4548,353670
TAMIL NADU,2004,95120,13064,79594,4858,371248
TAMIL NADU,2005,94382,12438,71900,5946,359622
TAMIL NADU,2006,60646,10196,62302,4746,327972
TAMIL NADU,2007,70594,13484,61534,5690,375528
TAMIL NADU,2008,81124,13680,69430,6358,387600
TAMIL NADU,2009,77978,11444,73840,6248,384742
TAMIL NADU,2010,88032,13228,71590,7496,405334
TAMIL NADU,2011,91896,13984,69748,8770,418928
TAMIL NADU,2012,93058,14236,60926,9580,430304
TAMIL NADU,2013,89292,15070,62698,10410,436462
TAMIL NADU,2014,195412,31599,128101,21855,924518
TAMIL NADU,2015,205503,33959,128845,23288,960272
TAMIL NADU,2016,209312,35926,129993,25294,998289
TAMIL NADU,2017,220051,38521,130788,27410,1049683
TAMIL NADU,2018,232276,41401,133480,29959,1111827
TAMIL NADU,2019,246406,43916,137329,32379,1162346
TAMIL NADU,2020,260177,47284,143360,35985,1236930
TAMIL NADU,2021,272530,51479,147704,40454,1293526
TAMIL NADU,2022,295855,56016,152215,46354,1360206
TAMIL NADU,2023,310927,60305,159732,50693,1445899
TRIPURA,2001,1928,1080,1610,54,6510
TRIPURA,2002,2216,1288,1634,78,7162
TRIPURA,2003,2784,1302,1648,62,8100
TRIPURA,2004,2180,1660,1522,126,7200
TRIPURA,2005,2278,2004,1806,214,7856
TRIPURA,2006,2496,2306,2112,238,9252
TRIPURA,2007,2564,2448,2190,274,9908
TRIPURA,2008,3492,3238,2654,314,12370
TRIPURA,2009,3726,3410,2290,364,12424
TRIPURA,2010,4040,3828,2436,362,13228
TRIPURA,2011,4004,3122,2552,324,13312
TRIPURA,2012,4226,3576,2872,322,14394
TRIPURA,2013,4164,3720,2686,544,14240
TRIPURA,2014,8633,7535,5796,888,29542
TRIPURA,2015,8939,7603,6006,893,30161
TRIPURA,2016,9438,7620,6120,895,31236
TRIPURA,2017,9809,7896,6371,933,32431
TRIPURA,2018,10371,8114,6673,954,33749
TRIPURA,2019,10631,8236,6976,963,34840
TRIPURA,2020,11311,8392,7162,982,36344
TRIPURA,2021,11929,8583,7504,999,37817
TRIPURA,2022,12658,8952,7993,1048,39465
TRIPURA,2023,13450,9348,8234,1094,41070
UTTAR PRADESH,2001,106416,43632,134402,17880,422856
UTTAR PRADESH,2002,87594,33464,108830,15782,346602
UTTAR PRADESH,2003,54548,26674,76038,9766,227886
UTTAR PRADESH,2004,77126,32722,106858,13498,314878
UTTAR PRADESH,2005,74720,30950,96740,14682,293950
UTTAR PRADESH,2006,73106,33982,95598,15858,304160
UTTAR PRADESH,2007,75216,43578,106754,24750,358400
UTTAR PRADESH,2008,81128,50118,119592,28086,404482
UTTAR PRADESH,2009,82922,49400,132842,26202,419904
UTTAR PRADESH,2010,85160,43186,140366,27592,426432
UTTAR PRADESH,2011,94116,49020,165394,27864,484720
UTTAR PRADESH,2012,95532,49992,168976,29112,492620
UTTAR PRADESH,2013,99582,68562,189676,31874,565254
UTTAR PRADESH,2014,200473,124436,376138,64361,1104859
UTTAR PRADESH,2015,207752,127923,401000,66750,1160600
UTTAR PRADESH,2016,216219,133059,418792,68920,1195488
UTTAR PRADESH,2017,224581,139323,441896,71676,1248557
UTTAR PRADESH,2018,233530,144137,472130,74889,1313734
UTTAR PRADESH,2019,243172,152111,503694,80065,1396216
UTTAR PRADESH,2020,254630,161123,534389,83063,1472404
UTTAR PRADESH,2021,269116,172509,576458,85668,1568717
UTTAR PRADESH,2022,282795,184186,621575,90578,1669467
UTTAR PRADESH,2023,297958,200230,663700,95827,1782748
UTTARAKHAND,2001,4948,1636,7194,986,19498
UTTARAKHAND,2002,4570,1916,6998,930,19256
UTTARAKHAND,2003,4352,1984,6964,1050,19138
UTTARAKHAND,2004,5016,2194,7926,1084,21118
UTTARAKHAND,2005,4694,1830,7976,1124,19998
UTTARAKHAND,2006,5246,2362,8104,1246,20934
UTTARAKHAND,2007,5372,2406,7918,1798,23124
UTTARAKHAND,2008,5352,2470,7658,1330,21624
UTTARAKHAND,2009,5970,2584,7572,1486,21578
UTTARAKHAND,2010,5642,2380,9524,1534,23570
UTTARAKHAND,2011,5164,2238,9442,1320,22620
UTTARAKHAND,2012,5404,2406,8786,1376,22480
UTTARAKHAND,2013,5210,3868,7204,1454,24804
UTTARAKHAND,2014,10794,6380,17006,2931,49112
UTTARAKHAND,2015,11001,6520,17898,2974,50939
UTTARAKHAND,2016,11105,6808,18584,3003,52638
UTTARAKHAND,2017,11340,7105,19492,2965,54610
UTTARAKHAND,2018,11590,7355,20605,3021,57115
UTTARAKHAND,2019,11940,7696,21600,3183,60092
UTTARAKHAND,2020,12327,8047,22938,3306,63166
UTTARAKHAND,2021,12749,8456,24163,3340,67016
UTTARAKHAND,2022,13358,8917,25838,3508,70706
UTTARAKHAND,2023,13831,9437,27447,3628,74689
WEST BENGAL,2001,25264,14484,60542,3608,154784
WEST BENGAL,2002,23410,15106,53280,3728,146002
WEST BENGAL,2003,25416,18680,54532,4130,151382
WEST BENGAL,2004,27414,24680,62334,4472,172980
WEST BENGAL,2005,27848,26960,53690,4790,162846
WEST BENGAL,2006,32794,28842,55062,5202,167340
WEST BENGAL,2007,39838,37076,59232,6410,197510
WEST BENGAL,2008,49984,46084,73964,7924,254696
WEST BENGAL,2009,58958,51064,72568,8738,270510
WEST BENGAL,2010,60754,56650,81878,8970,309322
WEST BENGAL,2011,60144,62564,90564,11284,342582
WEST BENGAL,2012,70372,65262,96832,14086,383162
WEST BENGAL,2013,73442,62592,96400,16194,397394
WEST BENGAL,2014,152177,134756,201858,32684,838435
WEST BENGAL,2015,161394,139822,216419,35425,895440
WEST BENGAL,2016,171010,146777,228175,38600,949782
WEST BENGAL,2017,178774,157194,247798,40913,1026302
WEST BENGAL,2018,189488,165496,263104,43806,1099389
WEST BENGAL,2019,200547,176649,283980,48663,1183909
WEST BENGAL,2020,216264,189851,302957,52816,1272762
WEST BENGAL,2021,233810,202940,322178,56559,1393127
WEST BENGAL,2022,253544,218523,347076,63318,1525561
WEST BENGAL,2023,275966,237036,370992,69850,1671782
