report_number,date_reported,date_of_occurrence,time_of_occurrence,city,crime_code,crime_description,victim_age,victim_gender,weapon_used,crime_domain,police_deployed,case_closed,date_case_closed,case_closed_flag,case_resolution_days,victim_age_group
6624,2020-03-10 11:00:00,2020-10-02 23:00:00,03-10-20 21:16,Kolkata,519,DRUG OFFENSE,78,F,Other,Other Crime,18,No,,0,,Senior
6625,2020-05-10 09:00:00,2020-10-03 00:00:00,03-10-20 4:22,Delhi,424,VANDALISM,59,F,Explosives,Other Crime,15,Yes,2020-02-12 09:00:00,1,-88.0,Middle Aged
6626,2020-05-10 03:00:00,2020-10-03 01:00:00,03-10-20 22:31,Ahmedabad,540,PUBLIC INTOXICATION,16,F,Blunt Object,Other Crime,8,Yes,2020-09-10 03:00:00,1,123.0,Minor
6627,2020-05-10 16:00:00,2020-10-03 02:00:00,03-10-20 18:21,Kanpur,171,DRUG OFFENSE,62,M,Poison,Other Crime,13,Yes,2020-11-21 16:00:00,1,195.0,Senior
6628,2020-05-10 16:00:00,2020-10-03 03:00:00,03-10-20 21:58,Delhi,135,HOMICIDE,39,F,Other,Other Crime,4,No,,0,,Adult
6629,2020-05-10 21:00:00,2020-10-03 04:00:00,03-10-20 7:31,Bangalore,530,DOMESTIC VIOLENCE,37,F,Knife,Violent Crime,9,Yes,2020-12-19 21:00:00,1,223.0,Adult
6630,2020-04-10 21:00:00,2020-10-03 05:00:00,03-10-20 6:53,Ahmedabad,450,ASSAULT,54,F,UNKNOWN,Violent Crime,18,Yes,2020-12-20 21:00:00,1,254.0,Middle Aged
6631,2020-04-10 04:00:00,2020-10-03 06:00:00,03-10-20 7:12,Mumbai,250,DRUG OFFENSE,74,M,Knife,Other Crime,17,No,,0,,Senior
6632,2020-03-10 10:00:00,2020-10-03 07:00:00,04-10-20 1:52,Agra,480,IDENTITY THEFT,25,F,Explosives,Violent Crime,17,No,,0,,Young Adult
6633,2020-03-10 19:00:00,2020-10-03 08:00:00,03-10-20 23:45,Hyderabad,272,ARSON,72,F,UNKNOWN,Fire Accident,2,Yes,2020-10-22 19:00:00,1,226.0,Senior
6634,2020-03-10 18:00:00,2020-10-03 09:00:00,03-10-20 18:11,Delhi,278,VANDALISM,24,M,Knife,Other Crime,1,No,,0,,Young Adult
6635,2020-05-10 09:00:00,2020-10-03 10:00:00,03-10-20 14:01,Nashik,487,KIDNAPPING,69,M,Firearm,Other Crime,2,Yes,2020-11-14 09:00:00,1,188.0,Senior
6636,2020-03-10 12:00:00,2020-10-03 11:00:00,04-10-20 1:48,Kanpur,227,IDENTITY THEFT,48,F,Other,Violent Crime,10,No,,0,,Middle Aged
6637,2020-04-10 03:00:00,2020-10-03 12:00:00,04-10-20 1:36,Delhi,194,VEHICLE - STOLEN,39,M,Explosives,Violent Crime,12,No,,0,,Adult
6638,2020-06-10 06:00:00,2020-10-03 13:00:00,04-10-20 1:27,Delhi,367,SEXUAL ASSAULT,37,F,UNKNOWN,Violent Crime,13,No,,0,,Adult
6639,2020-05-10 03:00:00,2020-10-03 14:00:00,04-10-20 0:01,Bangalore,501,COUNTERFEITING,46,F,Poison,Other Crime,16,Yes,2020-11-30 03:00:00,1,204.0,Middle Aged
6640,2020-06-10 12:00:00,2020-10-03 15:00:00,04-10-20 12:27,Mumbai,173,VANDALISM,70,F,Poison,Other Crime,18,Yes,2020-10-28 12:00:00,1,140.0,Senior
6641,2020-05-10 01:00:00,2020-10-03 16:00:00,03-10-20 16:09,Chennai,561,FIREARM OFFENSE,70,M,Blunt Object,Fire Accident,3,No,,0,,Senior
6642,2020-03-10 19:00:00,2020-10-03 17:00:00,04-10-20 1:50,Ludhiana,497,ROBBERY,20,F,Firearm,Violent Crime,12,No,,0,,Young Adult
6643,2020-06-10 03:00:00,2020-10-03 18:00:00,04-10-20 5:08,Chennai,463,ILLEGAL POSSESSION,52,F,Blunt Object,Other Crime,5,No,,0,,Middle Aged
6644,2020-04-10 17:00:00,2020-10-03 19:00:00,04-10-20 5:33,Delhi,360,TRAFFIC VIOLATION,62,F,Explosives,Traffic Fatality,13,Yes,2020-10-15 17:00:00,1,188.0,Senior
6645,2020-05-10 04:00:00,2020-10-03 20:00:00,04-10-20 11:28,Thane,244,EXTORTION,43,F,UNKNOWN,Other Crime,14,Yes,2020-10-16 04:00:00,1,159.0,Adult
6646,2020-06-10 06:00:00,2020-10-03 21:00:00,04-10-20 9:55,Nagpur,247,DRUG OFFENSE,70,F,Poison,Other Crime,3,No,,0,,Senior
6647,2020-05-10 19:00:00,2020-10-03 22:00:00,04-10-20 21:25,Bangalore,398,ROBBERY,14,F,Poison,Violent Crime,1,Yes,2021-12-01 19:00:00,1,570.0,Minor
6648,2020-05-10 13:00:00,2020-10-03 23:00:00,04-10-20 21:39,Delhi,219,DRUG OFFENSE,47,M,Firearm,Other Crime,16,Yes,2020-11-23 13:00:00,1,197.0,Middle Aged
6649,2020-05-10 11:00:00,2020-10-04 00:00:00,04-10-20 20:32,Bangalore,494,BURGLARY,50,M,Explosives,Other Crime,12,No,,0,,Middle Aged
6650,2020-04-10 09:00:00,2020-10-04 01:00:00,04-10-20 18:46,Hyderabad,390,SEXUAL ASSAULT,15,F,Poison,Violent Crime,12,Yes,2021-10-07 09:00:00,1,545.0,Minor
6651,2020-05-10 02:00:00,2020-10-04 02:00:00,04-10-20 9:41,Pune,415,SHOPLIFTING,23,M,Explosives,Other Crime,11,No,,0,,Young Adult
6652,2020-05-10 17:00:00,2020-10-04 03:00:00,05-10-20 2:04,Mumbai,340,ARSON,79,F,Other,Fire Accident,18,Yes,2020-06-11 17:00:00,1,32.0,Senior
6653,2020-06-10 05:00:00,2020-10-04 04:00:00,04-10-20 4:27,Mumbai,491,CYBERCRIME,61,F,Explosives,Other Crime,12,Yes,2020-11-16 05:00:00,1,159.0,Senior
6654,2020-07-10 03:00:00,2020-10-04 05:00:00,04-10-20 19:45,Hyderabad,332,ASSAULT,61,F,Poison,Violent Crime,8,No,,0,,Senior
6655,2020-06-10 12:00:00,2020-10-04 06:00:00,04-10-20 15:29,Visakhapatnam,192,VEHICLE - STOLEN,78,M,Other,Violent Crime,11,No,,0,,Senior
6656,2020-06-10 14:00:00,2020-10-04 07:00:00,04-10-20 21:53,Jaipur,168,FIREARM OFFENSE,58,F,Other,Fire Accident,4,Yes,2020-12-13 14:00:00,1,186.0,Middle Aged
6657,2020-06-10 08:00:00,2020-10-04 08:00:00,04-10-20 18:13,Jaipur,198,ILLEGAL POSSESSION,75,M,Blunt Object,Other Crime,3,No,,0,,Senior
6658,2020-06-10 01:00:00,2020-10-04 09:00:00,04-10-20 11:53,Lucknow,255,FRAUD,68,M,UNKNOWN,Other Crime,8,No,,0,,Senior
6659,2020-05-10 18:00:00,2020-10-04 10:00:00,04-10-20 15:46,Nashik,244,COUNTERFEITING,76,M,Blunt Object,Other Crime,17,Yes,2020-12-26 18:00:00,1,230.0,Senior
6660,2020-05-10 13:00:00,2020-10-04 11:00:00,04-10-20 12:34,Kanpur,529,EXTORTION,49,M,UNKNOWN,Other Crime,16,No,,0,,Middle Aged
6661,2020-05-10 10:00:00,2020-10-04 12:00:00,04-10-20 22:58,Bangalore,311,DRUG OFFENSE,20,M,Explosives,Other Crime,18,Yes,2020-10-21 10:00:00,1,164.0,Young Adult
6662,2020-07-10 05:00:00,2020-10-04 13:00:00,05-10-20 11:47,Hyderabad,158,SHOPLIFTING,63,F,Explosives,Other Crime,9,Yes,2020-08-12 05:00:00,1,33.0,Senior
6663,2020-07-10 06:00:00,2020-10-04 14:00:00,04-10-20 14:35,Bangalore,460,FIREARM OFFENSE,49,F,Explosives,Fire Accident,2,Yes,2020-07-12 06:00:00,1,2.0,Middle Aged
6664,2020-07-10 01:00:00,2020-10-04 15:00:00,04-10-20 19:13,Thane,286,FRAUD,47,M,Knife,Other Crime,14,No,,0,,Middle Aged
6665,2020-07-10 02:00:00,2020-10-04 16:00:00,05-10-20 12:35,Mumbai,213,FRAUD,33,F,Firearm,Other Crime,13,No,,0,,Adult
6666,2020-07-10 10:00:00,2020-10-04 17:00:00,04-10-20 22:50,Chennai,506,BURGLARY,44,F,Knife,Other Crime,10,Yes,2021-02-19 10:00:00,1,224.0,Adult
6667,2020-06-10 01:00:00,2020-10-04 18:00:00,05-10-20 4:39,Mumbai,386,BURGLARY,73,F,Knife,Other Crime,18,No,,0,,Senior
6668,2020-07-10 16:00:00,2020-10-04 19:00:00,05-10-20 16:11,Meerut,591,BURGLARY,32,M,Blunt Object,Other Crime,13,No,,0,,Adult
6669,2020-05-10 13:00:00,2020-10-04 20:00:00,05-10-20 15:08,Bangalore,319,ASSAULT,28,F,Blunt Object,Violent Crime,14,No,,0,,Young Adult
6670,2020-05-10 07:00:00,2020-10-04 21:00:00,05-10-20 14:24,Bangalore,366,PUBLIC INTOXICATION,10,F,Blunt Object,Other Crime,14,No,,0,,Minor
6671,2020-07-10 19:00:00,2020-10-04 22:00:00,05-10-20 8:13,Patna,275,PUBLIC INTOXICATION,54,F,Firearm,Other Crime,9,Yes,2020-10-19 19:00:00,1,101.0,Middle Aged
6672,2020-06-10 12:00:00,2020-10-04 23:00:00,05-10-20 0:27,Delhi,142,ARSON,32,M,UNKNOWN,Fire Accident,1,Yes,2020-12-31 12:00:00,1,204.0,Adult
6673,2020-07-10 11:00:00,2020-10-05 00:00:00,05-10-20 16:30,Bangalore,293,ROBBERY,22,F,Firearm,Violent Crime,15,Yes,2021-03-17 11:00:00,1,250.0,Young Adult
6674,2020-05-10 21:00:00,2020-10-05 01:00:00,05-10-20 8:59,Surat,523,VANDALISM,25,M,Knife,Other Crime,7,No,,0,,Young Adult
6675,2020-07-10 07:00:00,2020-10-05 02:00:00,05-10-20 23:24,Kolkata,420,SEXUAL ASSAULT,78,M,UNKNOWN,Violent Crime,6,No,,0,,Senior
6676,2020-05-10 20:00:00,2020-10-05 03:00:00,05-10-20 15:07,Hyderabad,579,TRAFFIC VIOLATION,67,M,Blunt Object,Traffic Fatality,17,No,,0,,Senior
6677,2020-06-10 05:00:00,2020-10-05 04:00:00,05-10-20 19:23,Jaipur,538,SEXUAL ASSAULT,29,F,UNKNOWN,Violent Crime,13,No,,0,,Young Adult
6678,2020-08-10 03:00:00,2020-10-05 05:00:00,05-10-20 21:20,Kanpur,333,EXTORTION,58,M,Firearm,Other Crime,5,No,,0,,Middle Aged
6679,2020-06-10 07:00:00,2020-10-05 06:00:00,05-10-20 21:23,Visakhapatnam,298,VEHICLE - STOLEN,73,F,Blunt Object,Violent Crime,19,No,,0,,Senior
6680,2020-07-10 23:00:00,2020-10-05 07:00:00,05-10-20 19:52,Ludhiana,184,HOMICIDE,52,M,Firearm,Other Crime,6,No,,0,,Middle Aged
6681,2020-05-10 17:00:00,2020-10-05 08:00:00,06-10-20 0:41,Pune,105,COUNTERFEITING,49,F,Other,Other Crime,13,Yes,2020-08-12 17:00:00,1,94.0,Middle Aged
6682,2020-06-10 16:00:00,2020-10-05 09:00:00,05-10-20 19:26,Delhi,144,PUBLIC INTOXICATION,26,F,Other,Other Crime,5,No,,0,,Young Adult
6683,2020-07-10 10:00:00,2020-10-05 10:00:00,05-10-20 16:14,Mumbai,372,ASSAULT,68,M,UNKNOWN,Violent Crime,12,No,,0,,Senior
6684,2020-06-10 08:00:00,2020-10-05 11:00:00,05-10-20 23:19,Pune,123,ILLEGAL POSSESSION,74,F,Poison,Other Crime,11,No,,0,,Senior
6685,2020-08-10 08:00:00,2020-10-05 12:00:00,06-10-20 5:55,Mumbai,214,ARSON,58,F,Other,Fire Accident,4,No,,0,,Middle Aged
6686,2020-07-10 12:00:00,2020-10-05 13:00:00,06-10-20 9:26,Lucknow,203,DOMESTIC VIOLENCE,48,F,Blunt Object,Violent Crime,16,No,,0,,Middle Aged
6687,2020-08-10 09:00:00,2020-10-05 14:00:00,05-10-20 20:13,Lucknow,152,HOMICIDE,23,F,Poison,Other Crime,8,Yes,2022-09-18 09:00:00,1,769.0,Young Adult
6688,2020-06-10 05:00:00,2020-10-05 15:00:00,05-10-20 16:24,Delhi,397,VEHICLE - STOLEN,76,M,Poison,Violent Crime,8,Yes,2020-11-20 05:00:00,1,163.0,Senior
6689,2020-06-10 06:00:00,2020-10-05 16:00:00,06-10-20 1:37,Delhi,583,SHOPLIFTING,71,F,Explosives,Other Crime,7,No,,0,,Senior
6690,2020-08-10 02:00:00,2020-10-05 17:00:00,06-10-20 15:50,Hyderabad,516,PUBLIC INTOXICATION,26,F,Firearm,Other Crime,14,No,,0,,Young Adult
6691,2020-07-10 10:00:00,2020-10-05 18:00:00,06-10-20 5:35,Mumbai,468,PUBLIC INTOXICATION,78,F,Other,Other Crime,1,Yes,2020-10-22 10:00:00,1,104.0,Senior
6692,2020-06-10 06:00:00,2020-10-05 19:00:00,06-10-20 10:37,Jaipur,584,BURGLARY,42,M,Firearm,Other Crime,16,No,,0,,Adult
6693,2020-08-10 03:00:00,2020-10-05 20:00:00,06-10-20 16:17,Kolkata,148,IDENTITY THEFT,21,M,Knife,Violent Crime,8,Yes,2020-10-29 03:00:00,1,80.0,Young Adult
6694,2020-08-10 06:00:00,2020-10-05 21:00:00,06-10-20 18:55,Mumbai,259,SEXUAL ASSAULT,78,M,Blunt Object,Violent Crime,15,Yes,2021-10-06 06:00:00,1,422.0,Senior
6695,2020-07-10 03:00:00,2020-10-05 22:00:00,06-10-20 6:53,Agra,191,TRAFFIC VIOLATION,22,M,UNKNOWN,Traffic Fatality,5,Yes,2020-10-24 03:00:00,1,106.0,Young Adult
6696,2020-08-10 06:00:00,2020-10-05 23:00:00,06-10-20 16:19,Delhi,520,TRAFFIC VIOLATION,15,F,Poison,Traffic Fatality,16,No,,0,,Minor
6697,2020-08-10 17:00:00,2020-10-06 00:00:00,06-10-20 21:10,Lucknow,377,CYBERCRIME,68,M,Poison,Other Crime,19,No,,0,,Senior
6698,2020-08-10 23:00:00,2020-10-06 01:00:00,06-10-20 9:25,Ahmedabad,346,VANDALISM,76,F,Firearm,Other Crime,11,No,,0,,Senior
6699,2020-06-10 16:00:00,2020-10-06 02:00:00,06-10-20 19:49,Ghaziabad,235,SEXUAL ASSAULT,44,F,Firearm,Violent Crime,14,No,,0,,Adult
6700,2020-07-10 22:00:00,2020-10-06 03:00:00,06-10-20 4:05,Nagpur,275,VANDALISM,33,M,Other,Other Crime,4,No,,0,,Adult
6701,2020-07-10 06:00:00,2020-10-06 04:00:00,06-10-20 21:38,Kolkata,138,HOMICIDE,78,M,UNKNOWN,Other Crime,10,Yes,2021-07-23 06:00:00,1,378.0,Senior
6702,2020-07-10 00:00:00,2020-10-06 05:00:00,06-10-20 9:08,Visakhapatnam,540,HOMICIDE,52,M,Blunt Object,Other Crime,6,Yes,2022-08-13 00:00:00,1,764.0,Middle Aged
6703,2020-08-10 21:00:00,2020-10-06 06:00:00,06-10-20 8:22,Lucknow,414,COUNTERFEITING,73,F,Explosives,Other Crime,4,No,,0,,Senior
6704,2020-07-10 15:00:00,2020-10-06 07:00:00,06-10-20 16:02,Ludhiana,297,SHOPLIFTING,48,F,Other,Other Crime,18,No,,0,,Middle Aged
6705,2020-07-10 02:00:00,2020-10-06 08:00:00,06-10-20 8:08,Ghaziabad,237,PUBLIC INTOXICATION,62,F,UNKNOWN,Other Crime,18,No,,0,,Senior
6706,2020-08-10 12:00:00,2020-10-06 09:00:00,06-10-20 14:06,Jaipur,311,ASSAULT,48,F,Firearm,Violent Crime,9,No,,0,,Middle Aged
6707,2020-09-10 00:00:00,2020-10-06 10:00:00,07-10-20 9:42,Mumbai,494,SHOPLIFTING,33,F,Poison,Other Crime,6,No,,0,,Adult
6708,2020-06-10 15:00:00,2020-10-06 11:00:00,07-10-20 1:30,Patna,396,EXTORTION,26,F,Poison,Other Crime,18,Yes,2020-12-22 15:00:00,1,195.0,Young Adult
6709,2020-08-10 04:00:00,2020-10-06 12:00:00,07-10-20 0:45,Ghaziabad,592,IDENTITY THEFT,41,F,Poison,Violent Crime,3,Yes,2020-12-30 04:00:00,1,142.0,Adult
6710,2020-07-10 10:00:00,2020-10-06 13:00:00,06-10-20 19:26,Jaipur,157,HOMICIDE,66,F,Firearm,Other Crime,13,No,,0,,Senior
6711,2020-07-10 18:00:00,2020-10-06 14:00:00,07-10-20 1:51,Delhi,334,DOMESTIC VIOLENCE,35,F,Other,Violent Crime,18,Yes,2020-11-20 18:00:00,1,133.0,Adult
6712,2020-09-10 10:00:00,2020-10-06 15:00:00,07-10-20 14:23,Delhi,488,EXTORTION,19,F,UNKNOWN,Other Crime,15,Yes,2020-05-11 10:00:00,1,-122.0,Young Adult
6713,2020-07-10 06:00:00,2020-10-06 16:00:00,06-10-20 23:15,Kalyan,155,VANDALISM,77,F,Other,Other Crime,16,No,,0,,Senior
6714,2020-09-10 11:00:00,2020-10-06 17:00:00,07-10-20 0:33,Lucknow,410,VANDALISM,79,F,UNKNOWN,Other Crime,6,Yes,2020-12-19 11:00:00,1,100.0,Senior
6715,2020-07-10 19:00:00,2020-10-06 18:00:00,07-10-20 9:09,Pune,489,CYBERCRIME,35,F,UNKNOWN,Other Crime,16,Yes,2020-12-30 19:00:00,1,173.0,Adult
6716,2020-07-10 10:00:00,2020-10-06 19:00:00,07-10-20 7:26,Delhi,448,FRAUD,61,M,Knife,Other Crime,7,No,,0,,Senior
6717,2020-08-10 14:00:00,2020-10-06 20:00:00,07-10-20 9:29,Bangalore,468,BURGLARY,51,M,Knife,Other Crime,12,Yes,2021-02-28 14:00:00,1,202.0,Middle Aged
6718,2020-08-10 18:00:00,2020-10-06 21:00:00,06-10-20 23:20,Chennai,148,SHOPLIFTING,71,M,Knife,Other Crime,5,No,,0,,Senior
6719,2020-07-10 18:00:00,2020-10-06 22:00:00,07-10-20 4:22,Kanpur,392,VANDALISM,48,F,Knife,Other Crime,9,No,,0,,Middle Aged
6720,2020-07-10 07:00:00,2020-10-06 23:00:00,07-10-20 16:56,Pune,335,BURGLARY,34,F,UNKNOWN,Other Crime,12,No,,0,,Adult
6721,2020-08-10 18:00:00,2020-10-07 00:00:00,07-10-20 22:59,Ahmedabad,264,SHOPLIFTING,75,F,Blunt Object,Other Crime,9,Yes,2020-12-24 18:00:00,1,136.0,Senior
6722,2020-07-10 23:00:00,2020-10-07 01:00:00,07-10-20 9:09,Kolkata,468,ILLEGAL POSSESSION,49,M,Blunt Object,Other Crime,8,Yes,2020-11-13 23:00:00,1,126.0,Middle Aged
6723,2020-09-10 10:00:00,2020-10-07 02:00:00,08-10-20 0:47,Bangalore,497,IDENTITY THEFT,26,M,Explosives,Violent Crime,17,Yes,2020-10-23 10:00:00,1,43.0,Young Adult
6724,2020-08-10 10:00:00,2020-10-07 03:00:00,07-10-20 5:46,Patna,157,ARSON,53,F,Firearm,Fire Accident,11,Yes,2020-12-30 10:00:00,1,142.0,Middle Aged
6725,2020-07-10 13:00:00,2020-10-07 04:00:00,08-10-20 3:08,Bangalore,255,HOMICIDE,78,F,Knife,Other Crime,5,Yes,2021-05-22 13:00:00,1,316.0,Senior
6726,2020-07-10 13:00:00,2020-10-07 05:00:00,08-10-20 2:50,Delhi,465,EXTORTION,73,M,Knife,Other Crime,7,Yes,2020-10-19 13:00:00,1,101.0,Senior
6727,2020-09-10 18:00:00,2020-10-07 06:00:00,08-10-20 1:38,Nagpur,283,TRAFFIC VIOLATION,10,M,Other,Traffic Fatality,8,No,,0,,Minor
6728,2020-08-10 03:00:00,2020-10-07 07:00:00,07-10-20 20:57,Mumbai,243,ASSAULT,53,F,Knife,Violent Crime,8,No,,0,,Middle Aged
6729,2020-08-10 23:00:00,2020-10-07 08:00:00,07-10-20 21:44,Delhi,569,DOMESTIC VIOLENCE,50,F,Explosives,Violent Crime,2,Yes,2020-11-27 23:00:00,1,109.0,Middle Aged
6730,2020-08-10 10:00:00,2020-10-07 09:00:00,07-10-20 16:31,Mumbai,266,TRAFFIC VIOLATION,24,M,Knife,Traffic Fatality,10,No,,0,,Young Adult
6731,2020-10-10 05:00:00,2020-10-07 10:00:00,08-10-20 4:28,Kolkata,445,SEXUAL ASSAULT,31,M,UNKNOWN,Violent Crime,16,No,,0,,Adult
6732,2020-08-10 21:00:00,2020-10-07 11:00:00,07-10-20 15:29,Delhi,490,SEXUAL ASSAULT,19,F,Poison,Violent Crime,12,No,,0,,Young Adult
6733,2020-10-10 03:00:00,2020-10-07 12:00:00,08-10-20 10:54,Ghaziabad,547,VANDALISM,73,F,Other,Other Crime,15,Yes,2020-10-26 03:00:00,1,16.0,Senior
6734,2020-09-10 15:00:00,2020-10-07 13:00:00,08-10-20 2:43,Ahmedabad,146,SHOPLIFTING,56,M,Blunt Object,Other Crime,12,Yes,2020-11-13 15:00:00,1,64.0,Middle Aged
6735,2020-08-10 23:00:00,2020-10-07 14:00:00,08-10-20 6:58,Mumbai,451,DOMESTIC VIOLENCE,79,M,Knife,Violent Crime,8,Yes,2020-11-25 23:00:00,1,107.0,Senior
6736,2020-08-10 16:00:00,2020-10-07 15:00:00,07-10-20 16:18,Hyderabad,402,IDENTITY THEFT,61,F,Knife,Violent Crime,9,No,,0,,Senior
6737,2020-09-10 18:00:00,2020-10-07 16:00:00,07-10-20 22:19,Patna,528,BURGLARY,30,F,Explosives,Other Crime,18,Yes,2021-01-01 18:00:00,1,113.0,Young Adult
6738,2020-09-10 08:00:00,2020-10-07 17:00:00,07-10-20 22:03,Delhi,321,SEXUAL ASSAULT,51,F,Blunt Object,Violent Crime,3,Yes,2022-04-02 08:00:00,1,569.0,Middle Aged
6739,2020-07-10 22:00:00,2020-10-07 18:00:00,08-10-20 8:18,Delhi,425,VEHICLE - STOLEN,67,M,Poison,Violent Crime,17,No,,0,,Senior
6740,2020-09-10 00:00:00,2020-10-07 19:00:00,07-10-20 19:36,Kanpur,333,EXTORTION,70,F,Other,Other Crime,16,No,,0,,Senior
6741,2020-09-10 09:00:00,2020-10-07 20:00:00,07-10-20 21:24,Delhi,217,DRUG OFFENSE,35,F,Poison,Other Crime,13,Yes,2021-04-01 09:00:00,1,203.0,Adult
6742,2020-09-10 23:00:00,2020-10-07 21:00:00,08-10-20 1:18,Hyderabad,239,IDENTITY THEFT,28,F,UNKNOWN,Violent Crime,17,Yes,2020-05-12 23:00:00,1,-121.0,Young Adult
6743,2020-09-10 23:00:00,2020-10-07 22:00:00,08-10-20 0:48,Ahmedabad,407,VEHICLE - STOLEN,75,M,Poison,Violent Crime,7,No,,0,,Senior
6744,2020-10-10 22:00:00,2020-10-07 23:00:00,08-10-20 17:02,Rajkot,160,CYBERCRIME,42,F,Knife,Other Crime,9,No,,0,,Adult
6745,2020-10-10 06:00:00,2020-10-08 00:00:00,08-10-20 13:44,Mumbai,492,ILLEGAL POSSESSION,30,F,UNKNOWN,Other Crime,6,Yes,2020-10-19 06:00:00,1,9.0,Young Adult
6746,2020-09-10 16:00:00,2020-10-08 01:00:00,08-10-20 20:31,Agra,161,PUBLIC INTOXICATION,46,F,Firearm,Other Crime,12,No,,0,,Middle Aged
6747,2020-09-10 17:00:00,2020-10-08 02:00:00,08-10-20 8:49,Kolkata,449,VANDALISM,34,F,Other,Other Crime,18,No,,0,,Adult
6748,2020-08-10 23:00:00,2020-10-08 03:00:00,08-10-20 19:43,Kanpur,148,VANDALISM,28,F,Other,Other Crime,19,No,,0,,Young Adult
6749,2020-10-10 08:00:00,2020-10-08 04:00:00,08-10-20 16:42,Vasai,321,PUBLIC INTOXICATION,36,F,Blunt Object,Other Crime,7,No,,0,,Adult
6750,2020-08-10 21:00:00,2020-10-08 05:00:00,08-10-20 12:55,Kalyan,459,HOMICIDE,65,F,Knife,Other Crime,7,No,,0,,Senior
6751,2020-10-10 10:00:00,2020-10-08 06:00:00,08-10-20 12:59,Ludhiana,289,FIREARM OFFENSE,75,F,Knife,Fire Accident,4,Yes,2020-12-25 10:00:00,1,76.0,Senior
6752,2020-10-10 06:00:00,2020-10-08 07:00:00,08-10-20 9:59,Delhi,596,ARSON,60,M,UNKNOWN,Fire Accident,16,Yes,2020-10-22 06:00:00,1,12.0,Middle Aged
6753,2020-10-10 11:00:00,2020-10-08 08:00:00,09-10-20 2:54,Delhi,227,FIREARM OFFENSE,67,M,Firearm,Fire Accident,19,Yes,2020-12-23 11:00:00,1,74.0,Senior
6754,2020-08-10 14:00:00,2020-10-08 09:00:00,08-10-20 22:22,Chennai,141,FRAUD,32,F,Poison,Other Crime,1,Yes,2020-12-28 14:00:00,1,140.0,Adult
6755,2020-08-10 11:00:00,2020-10-08 10:00:00,08-10-20 15:00,Mumbai,323,SEXUAL ASSAULT,67,M,Explosives,Violent Crime,18,Yes,2022-02-09 11:00:00,1,548.0,Senior
6756,2020-09-10 08:00:00,2020-10-08 11:00:00,08-10-20 18:41,Varanasi,393,DRUG OFFENSE,23,M,Knife,Other Crime,16,No,,0,,Young Adult
6757,2020-10-10 05:00:00,2020-10-08 12:00:00,09-10-20 3:49,Hyderabad,156,FIREARM OFFENSE,77,F,Firearm,Fire Accident,6,No,,0,,Senior
6758,2020-09-10 05:00:00,2020-10-08 13:00:00,09-10-20 6:54,Hyderabad,546,DOMESTIC VIOLENCE,43,F,Knife,Violent Crime,7,No,,0,,Adult
6759,2020-08-10 17:00:00,2020-10-08 14:00:00,09-10-20 5:02,Bangalore,387,COUNTERFEITING,58,M,Firearm,Other Crime,10,No,,0,,Middle Aged
6760,2020-09-10 07:00:00,2020-10-08 15:00:00,08-10-20 23:32,Nagpur,100,FIREARM OFFENSE,68,F,Knife,Fire Accident,11,Yes,2020-12-25 07:00:00,1,106.0,Senior
6761,2020-10-10 15:00:00,2020-10-08 16:00:00,08-10-20 20:58,Delhi,562,BURGLARY,25,F,Other,Other Crime,4,No,,0,,Young Adult
6762,2020-10-10 03:00:00,2020-10-08 17:00:00,08-10-20 17:46,Kolkata,504,HOMICIDE,29,M,Explosives,Other Crime,2,Yes,2021-04-16 03:00:00,1,188.0,Young Adult
6763,2020-10-10 09:00:00,2020-10-08 18:00:00,09-10-20 3:38,Bangalore,373,KIDNAPPING,32,M,Firearm,Other Crime,3,No,,0,,Adult
6764,2020-10-10 02:00:00,2020-10-08 19:00:00,09-10-20 9:44,Lucknow,222,VANDALISM,12,F,Firearm,Other Crime,11,No,,0,,Minor
6765,2020-08-10 21:00:00,2020-10-08 20:00:00,09-10-20 13:17,Chennai,402,VANDALISM,10,F,Blunt Object,Other Crime,16,No,,0,,Minor
6766,2020-10-10 19:00:00,2020-10-08 21:00:00,09-10-20 19:01,Delhi,404,SEXUAL ASSAULT,59,F,Firearm,Violent Crime,19,No,,0,,Middle Aged
6767,2020-10-10 12:00:00,2020-10-08 22:00:00,09-10-20 11:53,Nagpur,145,VANDALISM,76,F,UNKNOWN,Other Crime,16,Yes,2020-10-29 12:00:00,1,19.0,Senior
6768,2020-10-10 00:00:00,2020-10-08 23:00:00,09-10-20 0:17,Bangalore,405,VANDALISM,69,F,Blunt Object,Other Crime,15,No,,0,,Senior
6769,2020-11-10 17:00:00,2020-10-09 00:00:00,09-10-20 21:41,Chennai,456,FIREARM OFFENSE,24,F,Explosives,Fire Accident,15,No,,0,,Young Adult
6770,2020-09-10 17:00:00,2020-10-09 01:00:00,09-10-20 12:21,Lucknow,344,EXTORTION,38,F,Knife,Other Crime,17,Yes,2020-03-12 17:00:00,1,-182.0,Adult
6771,2020-10-10 17:00:00,2020-10-09 02:00:00,09-10-20 18:37,Surat,219,COUNTERFEITING,53,M,Poison,Other Crime,17,No,,0,,Middle Aged
6772,2020-12-10 02:00:00,2020-10-09 03:00:00,09-10-20 13:29,Visakhapatnam,193,SHOPLIFTING,34,M,Firearm,Other Crime,10,Yes,2020-08-11 02:00:00,1,-121.0,Adult
