,report_number,date_reported,date_of_occurrence,time_of_occurrence,city,crime_code,crime_description,victim_age,victim_gender,weapon_used,crime_domain,police_deployed,case_closed,date_case_closed,case_closed_flag,case_resolution_days,victim_age_group
578,579,2020-01-25 03:00:00,2020-01-25 02:00:00,25-01-20 23:23,Kanpur,293,ROBBERY,21,F,UNKNOWN,Violent Crime,2,No,,0,,Young Adult
579,580,2020-01-25 18:00:00,2020-01-25 03:00:00,25-01-20 8:53,Ludhiana,154,FIREARM OFFENSE,56,F,Knife,Fire Accident,13,No,,0,,Middle Aged
583,584,2020-01-25 19:00:00,2020-01-25 07:00:00,26-01-20 0:59,Mumbai,342,BURGLARY,22,F,Poison,Other Crime,8,No,,0,,Young Adult
584,585,2020-01-25 09:00:00,2020-01-25 08:00:00,25-01-20 16:48,Ludhiana,574,DRUG OFFENSE,25,F,Knife,Other Crime,7,No,,0,,Young Adult
585,586,2020-01-28 07:00:00,2020-01-25 09:00:00,26-01-20 2:35,Agra,264,PUBLIC INTOXICATION,40,F,Poison,Other Crime,4,No,,0,,Adult
586,587,2020-01-28 03:00:00,2020-01-25 10:00:00,25-01-20 20:21,Chennai,253,ARSON,16,F,Firearm,Fire Accident,3,No,,0,,Minor
588,589,2020-01-27 07:00:00,2020-01-25 12:00:00,26-01-20 11:49,Nagpur,299,SHOPLIFTING,65,F,Knife,Other Crime,2,No,,0,,Senior
589,590,2020-01-27 19:00:00,2020-01-25 13:00:00,25-01-20 21:28,Jaipur,572,KIDNAPPING,53,F,Knife,Other Crime,5,Yes,2020-03-02 19:00:00,1,35.0,Middle Aged
591,592,2020-01-26 10:00:00,2020-01-25 15:00:00,26-01-20 5:35,Bangalore,500,ROBBERY,20,F,Poison,Violent Crime,14,No,,0,,Young Adult
592,593,2020-01-26 04:00:00,2020-01-25 16:00:00,26-01-20 14:05,Bangalore,452,CYBERCRIME,65,F,Other,Other Crime,8,No,,0,,Senior
594,595,2020-01-26 21:00:00,2020-01-25 18:00:00,26-01-20 12:22,Srinagar,515,EXTORTION,55,F,Explosives,Other Crime,11,No,,0,,Middle Aged
595,596,2020-01-28 16:00:00,2020-01-25 19:00:00,26-01-20 15:56,Bangalore,509,SHOPLIFTING,11,F,Poison,Other Crime,9,Yes,2020-11-03 16:00:00,1,280.0,Minor
596,597,2020-01-28 08:00:00,2020-01-25 20:00:00,26-01-20 3:36,Pune,202,PUBLIC INTOXICATION,12,F,Explosives,Other Crime,14,Yes,2020-02-26 08:00:00,1,29.0,Minor
597,598,2020-01-26 12:00:00,2020-01-25 21:00:00,26-01-20 11:18,Chennai,337,TRAFFIC VIOLATION,35,F,Other,Traffic Fatality,16,Yes,2020-02-14 12:00:00,1,19.0,Adult
599,600,2020-01-28 12:00:00,2020-01-25 23:00:00,26-01-20 13:14,Mumbai,527,IDENTITY THEFT,55,F,Poison,Violent Crime,17,No,,0,,Middle Aged
601,602,2020-01-27 17:00:00,2020-01-26 01:00:00,26-01-20 22:50,Nagpur,188,HOMICIDE,41,F,Firearm,Other Crime,2,Yes,2020-11-12 17:00:00,1,290.0,Adult
602,603,2020-01-29 01:00:00,2020-01-26 02:00:00,26-01-20 17:23,Mumbai,287,ROBBERY,41,F,Knife,Violent Crime,6,Yes,2020-09-07 01:00:00,1,222.0,Adult
603,604,2020-01-29 02:00:00,2020-01-26 03:00:00,26-01-20 23:12,Jaipur,425,VEHICLE - STOLEN,46,F,UNKNOWN,Violent Crime,18,Yes,2020-04-22 02:00:00,1,84.0,Middle Aged
604,605,2020-01-28 10:00:00,2020-01-26 04:00:00,26-01-20 17:06,Bangalore,297,TRAFFIC VIOLATION,78,F,Knife,Traffic Fatality,15,No,,0,,Senior
605,606,2020-01-27 12:00:00,2020-01-26 05:00:00,26-01-20 22:18,Chennai,459,CYBERCRIME,20,F,Explosives,Other Crime,5,Yes,2020-09-03 12:00:00,1,220.0,Young Adult
606,607,2020-01-27 15:00:00,2020-01-26 06:00:00,26-01-20 17:37,Delhi,486,ROBBERY,15,F,Poison,Violent Crime,3,Yes,2020-05-04 15:00:00,1,98.0,Minor
609,610,2020-01-26 13:00:00,2020-01-26 09:00:00,26-01-20 10:59,Mumbai,232,EXTORTION,38,F,Knife,Other Crime,15,Yes,2020-08-03 13:00:00,1,190.0,Adult
610,611,2020-01-28 19:00:00,2020-01-26 10:00:00,26-01-20 20:41,Lucknow,109,BURGLARY,16,F,Firearm,Other Crime,16,No,,0,,Minor
611,612,2020-01-28 14:00:00,2020-01-26 11:00:00,26-01-20 16:22,Pune,514,FRAUD,32,F,Other,Other Crime,6,Yes,2020-03-28 14:00:00,1,60.0,Adult
613,614,2020-01-27 12:00:00,2020-01-26 13:00:00,26-01-20 16:30,Indore,511,FIREARM OFFENSE,25,F,Other,Fire Accident,17,Yes,2020-01-04 12:00:00,1,-23.0,Young Adult
614,615,2020-01-28 10:00:00,2020-01-26 14:00:00,26-01-20 15:00,Mumbai,253,EXTORTION,46,F,Poison,Other Crime,3,Yes,2020-10-03 10:00:00,1,249.0,Middle Aged
615,616,2020-01-28 14:00:00,2020-01-26 15:00:00,27-01-20 14:06,Pune,329,DRUG OFFENSE,70,F,Explosives,Other Crime,11,Yes,2020-02-15 14:00:00,1,18.0,Senior
617,618,2020-01-27 03:00:00,2020-01-26 17:00:00,27-01-20 16:03,Delhi,461,DRUG OFFENSE,42,F,Poison,Other Crime,3,Yes,2020-02-28 03:00:00,1,32.0,Adult
619,620,2020-01-29 15:00:00,2020-01-26 19:00:00,27-01-20 5:49,Delhi,400,EXTORTION,34,F,Firearm,Other Crime,9,Yes,2020-02-03 15:00:00,1,5.0,Adult
621,622,2020-01-27 18:00:00,2020-01-26 21:00:00,27-01-20 3:18,Mumbai,489,ILLEGAL POSSESSION,77,F,Firearm,Other Crime,11,Yes,2020-03-20 18:00:00,1,53.0,Senior
622,623,2020-01-27 23:00:00,2020-01-26 22:00:00,27-01-20 9:09,Bhopal,399,DOMESTIC VIOLENCE,48,F,Blunt Object,Violent Crime,14,Yes,2020-04-19 23:00:00,1,83.0,Middle Aged
624,625,2020-01-29 02:00:00,2020-01-27 00:00:00,27-01-20 15:10,Srinagar,374,PUBLIC INTOXICATION,66,F,Firearm,Other Crime,15,No,,0,,Senior
628,629,2020-01-29 01:00:00,2020-01-27 04:00:00,27-01-20 15:05,Kolkata,427,COUNTERFEITING,59,F,Firearm,Other Crime,18,No,,0,,Middle Aged
630,631,2020-01-29 13:00:00,2020-01-27 06:00:00,27-01-20 23:23,Chennai,296,SHOPLIFTING,18,F,UNKNOWN,Other Crime,3,Yes,2020-08-02 13:00:00,1,186.0,Young Adult
631,632,2020-01-28 07:00:00,2020-01-27 07:00:00,28-01-20 6:01,Delhi,501,CYBERCRIME,25,F,Poison,Other Crime,7,No,,0,,Young Adult
632,633,2020-01-29 09:00:00,2020-01-27 08:00:00,27-01-20 21:26,Agra,267,CYBERCRIME,60,F,Knife,Other Crime,8,Yes,2020-11-04 09:00:00,1,280.0,Middle Aged
633,634,2020-01-28 05:00:00,2020-01-27 09:00:00,27-01-20 19:36,Mumbai,182,CYBERCRIME,32,F,UNKNOWN,Other Crime,2,Yes,2020-02-03 05:00:00,1,6.0,Adult
634,635,2020-01-29 23:00:00,2020-01-27 10:00:00,27-01-20 11:07,Chennai,379,SHOPLIFTING,28,F,Knife,Other Crime,10,Yes,2020-02-24 23:00:00,1,26.0,Young Adult
635,636,2020-01-27 23:00:00,2020-01-27 11:00:00,28-01-20 3:47,Indore,455,ROBBERY,35,F,Blunt Object,Violent Crime,2,No,,0,,Adult
636,637,2020-01-29 15:00:00,2020-01-27 12:00:00,27-01-20 13:44,Lucknow,325,BURGLARY,49,F,UNKNOWN,Other Crime,3,Yes,2020-12-04 15:00:00,1,310.0,Middle Aged
637,638,2020-01-29 18:00:00,2020-01-27 13:00:00,28-01-20 5:41,Lucknow,298,CYBERCRIME,79,F,Poison,Other Crime,9,No,,0,,Senior
638,639,2020-01-28 08:00:00,2020-01-27 14:00:00,27-01-20 20:45,Kolkata,470,DOMESTIC VIOLENCE,37,F,Explosives,Violent Crime,11,Yes,2020-03-15 08:00:00,1,47.0,Adult
640,641,2020-01-28 22:00:00,2020-01-27 16:00:00,28-01-20 9:12,Delhi,580,FIREARM OFFENSE,31,F,Knife,Fire Accident,15,No,,0,,Adult
641,642,2020-01-28 19:00:00,2020-01-27 17:00:00,28-01-20 8:20,Bangalore,354,DRUG OFFENSE,75,F,Knife,Other Crime,5,No,,0,,Senior
644,645,2020-01-30 18:00:00,2020-01-27 20:00:00,28-01-20 18:11,Hyderabad,129,ASSAULT,43,F,Other,Violent Crime,13,Yes,2020-03-22 18:00:00,1,52.0,Adult
645,646,2020-01-29 00:00:00,2020-01-27 21:00:00,28-01-20 16:45,Hyderabad,529,ASSAULT,37,F,Knife,Violent Crime,16,Yes,2020-05-04 00:00:00,1,96.0,Adult
646,647,2020-01-30 11:00:00,2020-01-27 22:00:00,28-01-20 13:26,Indore,404,CYBERCRIME,11,F,Other,Other Crime,2,Yes,2020-03-14 11:00:00,1,44.0,Minor
647,648,2020-01-30 10:00:00,2020-01-27 23:00:00,28-01-20 20:14,Ghaziabad,221,IDENTITY THEFT,22,F,Poison,Violent Crime,4,Yes,2020-03-28 10:00:00,1,58.0,Young Adult
649,650,2020-01-29 07:00:00,2020-01-28 01:00:00,28-01-20 19:13,Hyderabad,203,HOMICIDE,57,F,Poison,Other Crime,6,Yes,2021-11-28 07:00:00,1,669.0,Middle Aged
652,653,2020-01-28 19:00:00,2020-01-28 04:00:00,28-01-20 7:07,Kolkata,303,SEXUAL ASSAULT,66,F,Explosives,Violent Crime,13,No,,0,,Senior
655,656,2020-01-30 11:00:00,2020-01-28 07:00:00,28-01-20 8:43,Kolkata,293,SEXUAL ASSAULT,68,F,Explosives,Violent Crime,14,Yes,2021-09-10 11:00:00,1,589.0,Senior
657,658,2020-01-29 14:00:00,2020-01-28 09:00:00,29-01-20 1:49,Kanpur,447,VEHICLE - STOLEN,40,F,Other,Violent Crime,12,No,,0,,Adult
658,659,2020-01-29 03:00:00,2020-01-28 10:00:00,28-01-20 16:40,Kolkata,264,IDENTITY THEFT,70,F,Other,Violent Crime,17,Yes,2020-02-16 03:00:00,1,18.0,Senior
659,660,2020-01-29 21:00:00,2020-01-28 11:00:00,29-01-20 8:05,Delhi,379,COUNTERFEITING,18,F,Explosives,Other Crime,15,No,,0,,Young Adult
660,661,2020-01-29 12:00:00,2020-01-28 12:00:00,29-01-20 10:40,Kolkata,230,COUNTERFEITING,10,F,Firearm,Other Crime,8,No,,0,,Minor
662,663,2020-01-29 05:00:00,2020-01-28 14:00:00,28-01-20 14:21,Kolkata,544,ASSAULT,33,F,Poison,Violent Crime,10,Yes,2020-07-03 05:00:00,1,156.0,Adult
663,664,2020-01-30 05:00:00,2020-01-28 15:00:00,28-01-20 20:05,Jaipur,176,SHOPLIFTING,22,F,Explosives,Other Crime,15,No,,0,,Young Adult
664,665,2020-01-29 02:00:00,2020-01-28 16:00:00,29-01-20 15:07,Ghaziabad,168,SHOPLIFTING,54,F,Other,Other Crime,19,Yes,2020-02-13 02:00:00,1,15.0,Middle Aged
665,666,2020-01-29 09:00:00,2020-01-28 17:00:00,29-01-20 0:04,Delhi,371,BURGLARY,32,F,Poison,Other Crime,3,Yes,2020-06-19 09:00:00,1,142.0,Adult
667,668,2020-01-29 01:00:00,2020-01-28 19:00:00,29-01-20 12:27,Delhi,386,VEHICLE - STOLEN,43,F,Explosives,Violent Crime,4,Yes,2020-04-27 01:00:00,1,89.0,Adult
669,670,2020-01-28 22:00:00,2020-01-28 21:00:00,29-01-20 1:18,Mumbai,380,ARSON,54,F,UNKNOWN,Fire Accident,12,Yes,2020-03-20 22:00:00,1,52.0,Middle Aged
670,671,2020-01-29 03:00:00,2020-01-28 22:00:00,29-01-20 16:26,Kolkata,360,TRAFFIC VIOLATION,27,F,Other,Traffic Fatality,17,No,,0,,Young Adult
672,673,2020-01-29 16:00:00,2020-01-29 00:00:00,29-01-20 1:41,Pune,529,PUBLIC INTOXICATION,51,F,UNKNOWN,Other Crime,13,No,,0,,Middle Aged
673,674,2020-01-30 07:00:00,2020-01-29 01:00:00,29-01-20 23:53,Bangalore,396,KIDNAPPING,56,F,Other,Other Crime,13,No,,0,,Middle Aged
674,675,2020-01-31 13:00:00,2020-01-29 02:00:00,29-01-20 11:34,Chennai,134,CYBERCRIME,33,F,Firearm,Other Crime,18,No,,0,,Adult
675,676,2020-01-29 19:00:00,2020-01-29 03:00:00,29-01-20 5:43,Kolkata,174,PUBLIC INTOXICATION,22,F,Blunt Object,Other Crime,1,No,,0,,Young Adult
676,677,2020-01-30 18:00:00,2020-01-29 04:00:00,30-01-20 2:28,Jaipur,587,FIREARM OFFENSE,36,F,Other,Fire Accident,4,No,,0,,Adult
677,678,2020-01-31 15:00:00,2020-01-29 05:00:00,29-01-20 17:45,Hyderabad,527,COUNTERFEITING,12,F,Poison,Other Crime,14,No,,0,,Minor
678,679,2020-01-30 05:00:00,2020-01-29 06:00:00,29-01-20 10:17,Kalyan,268,HOMICIDE,26,F,Explosives,Other Crime,12,Yes,2021-02-18 05:00:00,1,385.0,Young Adult
679,680,2020-01-30 02:00:00,2020-01-29 07:00:00,29-01-20 7:15,Lucknow,542,SEXUAL ASSAULT,55,F,Poison,Violent Crime,12,No,,0,,Middle Aged
680,681,2020-01-31 19:00:00,2020-01-29 08:00:00,30-01-20 5:29,Delhi,538,VANDALISM,25,F,Other,Other Crime,18,Yes,2020-02-17 19:00:00,1,17.0,Young Adult
681,682,2020-01-29 14:00:00,2020-01-29 09:00:00,29-01-20 15:09,Thane,546,SEXUAL ASSAULT,66,F,Explosives,Violent Crime,16,Yes,2021-06-10 14:00:00,1,498.0,Senior
682,683,2020-01-29 13:00:00,2020-01-29 10:00:00,30-01-20 3:16,Delhi,361,IDENTITY THEFT,55,F,Knife,Violent Crime,17,Yes,2020-08-03 13:00:00,1,187.0,Middle Aged
683,684,2020-01-30 07:00:00,2020-01-29 11:00:00,30-01-20 2:14,Mumbai,489,BURGLARY,24,F,Knife,Other Crime,5,Yes,2020-03-24 07:00:00,1,54.0,Young Adult
684,685,2020-01-02 09:00:00,2020-01-29 12:00:00,30-01-20 2:17,Mumbai,365,CYBERCRIME,20,F,UNKNOWN,Other Crime,12,No,,0,,Young Adult
685,686,2020-01-02 11:00:00,2020-01-29 13:00:00,29-01-20 19:24,Delhi,355,CYBERCRIME,50,F,Explosives,Other Crime,14,No,,0,,Middle Aged
687,688,2020-01-29 16:00:00,2020-01-29 15:00:00,29-01-20 22:07,Ahmedabad,422,VANDALISM,10,F,Poison,Other Crime,16,No,,0,,Minor
689,690,2020-01-31 11:00:00,2020-01-29 17:00:00,29-01-20 22:07,Bangalore,158,ILLEGAL POSSESSION,59,F,Firearm,Other Crime,19,No,,0,,Middle Aged
693,694,2020-01-31 03:00:00,2020-01-29 21:00:00,30-01-20 6:45,Pune,381,ARSON,32,F,Blunt Object,Fire Accident,5,No,,0,,Adult
694,695,2020-01-02 05:00:00,2020-01-29 22:00:00,30-01-20 19:49,Kanpur,453,ROBBERY,52,F,Knife,Violent Crime,15,Yes,2020-02-04 05:00:00,1,33.0,Middle Aged
696,697,2020-01-31 01:00:00,2020-01-30 00:00:00,30-01-20 14:39,Thane,347,BURGLARY,18,F,Poison,Other Crime,10,Yes,2020-05-05 01:00:00,1,95.0,Young Adult
697,698,2020-01-02 19:00:00,2020-01-30 01:00:00,30-01-20 14:06,Ludhiana,570,FIREARM OFFENSE,18,F,Explosives,Fire Accident,8,Yes,2020-04-25 19:00:00,1,114.0,Young Adult
699,700,2020-01-02 12:00:00,2020-01-30 03:00:00,30-01-20 12:50,Hyderabad,592,FRAUD,17,F,Knife,Other Crime,10,No,,0,,Minor
700,701,2020-02-02 00:00:00,2020-01-30 04:00:00,30-01-20 19:29,Ahmedabad,218,DOMESTIC VIOLENCE,76,F,Firearm,Violent Crime,12,No,,0,,Senior
702,703,2020-01-02 19:00:00,2020-01-30 06:00:00,30-01-20 21:37,Visakhapatnam,301,ROBBERY,28,F,Knife,Violent Crime,15,Yes,2020-06-20 19:00:00,1,170.0,Young Adult
704,705,2020-01-02 05:00:00,2020-01-30 08:00:00,30-01-20 14:53,Delhi,415,PUBLIC INTOXICATION,55,F,Poison,Other Crime,3,No,,0,,Middle Aged
705,706,2020-01-02 02:00:00,2020-01-30 09:00:00,30-01-20 23:54,Chennai,148,SEXUAL ASSAULT,29,F,Knife,Violent Crime,17,No,,0,,Young Adult
706,707,2020-01-30 21:00:00,2020-01-30 10:00:00,31-01-20 6:31,Thane,253,DOMESTIC VIOLENCE,69,F,Other,Violent Crime,11,Yes,2020-03-13 21:00:00,1,43.0,Senior
708,709,2020-01-02 19:00:00,2020-01-30 12:00:00,30-01-20 20:20,Surat,149,VEHICLE - STOLEN,48,F,Other,Violent Crime,18,No,,0,,Middle Aged
710,711,2020-02-02 02:00:00,2020-01-30 14:00:00,30-01-20 17:48,Mumbai,106,TRAFFIC VIOLATION,46,F,Blunt Object,Traffic Fatality,15,Yes,2020-02-25 02:00:00,1,23.0,Middle Aged
712,713,2020-02-02 15:00:00,2020-01-30 16:00:00,31-01-20 15:28,Delhi,105,VEHICLE - STOLEN,34,F,Blunt Object,Violent Crime,14,No,,0,,Adult
713,714,2020-01-31 23:00:00,2020-01-30 17:00:00,30-01-20 17:34,Bangalore,186,ARSON,10,F,Other,Fire Accident,16,Yes,2020-09-04 23:00:00,1,217.0,Minor
714,715,2020-01-31 03:00:00,2020-01-30 18:00:00,31-01-20 3:45,Agra,530,FIREARM OFFENSE,41,F,Firearm,Fire Accident,13,No,,0,,Adult
716,717,2020-01-02 16:00:00,2020-01-30 20:00:00,31-01-20 1:35,Delhi,125,KIDNAPPING,54,F,Knife,Other Crime,18,No,,0,,Middle Aged
717,718,2020-01-02 18:00:00,2020-01-30 21:00:00,31-01-20 1:06,Mumbai,384,FIREARM OFFENSE,77,F,Firearm,Fire Accident,19,No,,0,,Senior
719,720,2020-02-02 15:00:00,2020-01-30 23:00:00,31-01-20 2:55,Ghaziabad,154,KIDNAPPING,70,F,UNKNOWN,Other Crime,8,No,,0,,Senior
721,722,2020-01-31 16:00:00,2020-01-31 01:00:00,31-01-20 11:31,Bangalore,403,ARSON,46,F,Knife,Fire Accident,13,Yes,2020-03-15 16:00:00,1,44.0,Middle Aged
722,723,2020-02-02 13:00:00,2020-01-31 02:00:00,31-01-20 5:45,Meerut,517,COUNTERFEITING,47,F,Other,Other Crime,7,Yes,2020-03-31 13:00:00,1,58.0,Middle Aged
726,727,2020-01-31 13:00:00,2020-01-31 06:00:00,31-01-20 7:11,Patna,401,KIDNAPPING,17,F,Knife,Other Crime,11,No,,0,,Minor
727,728,2020-01-02 05:00:00,2020-01-31 07:00:00,01-02-20 0:37,Bangalore,206,PUBLIC INTOXICATION,56,F,Other,Other Crime,9,No,,0,,Middle Aged
729,730,2020-02-02 08:00:00,2020-01-31 09:00:00,31-01-20 22:24,Bangalore,546,CYBERCRIME,11,F,Poison,Other Crime,3,Yes,2020-04-27 08:00:00,1,85.0,Minor
731,732,2020-01-02 18:00:00,2020-01-31 11:00:00,31-01-20 22:08,Bangalore,284,ASSAULT,51,F,Blunt Object,Violent Crime,11,Yes,2020-03-14 18:00:00,1,72.0,Middle Aged
736,737,2020-01-02 17:00:00,2020-01-31 16:00:00,01-02-20 15:43,Ahmedabad,433,BURGLARY,56,F,Explosives,Other Crime,8,No,,0,,Middle Aged
737,738,2020-01-31 21:00:00,2020-01-31 17:00:00,01-02-20 4:39,Ahmedabad,378,ARSON,19,F,UNKNOWN,Fire Accident,15,No,,0,,Young Adult
739,740,2020-02-02 02:00:00,2020-01-31 19:00:00,01-02-20 9:41,Bangalore,292,PUBLIC INTOXICATION,22,F,Firearm,Other Crime,3,Yes,2020-04-02 02:00:00,1,60.0,Young Adult
740,741,2020-02-02 07:00:00,2020-01-31 20:00:00,01-02-20 18:16,Bangalore,428,COUNTERFEITING,78,F,Poison,Other Crime,6,Yes,2020-02-18 07:00:00,1,16.0,Senior
743,744,2020-03-02 06:00:00,2020-01-31 23:00:00,01-02-20 15:39,Mumbai,471,SEXUAL ASSAULT,26,F,Blunt Object,Violent Crime,3,No,,0,,Young Adult
744,745,2020-03-02 11:00:00,2020-02-01 00:00:00,01-02-20 23:29,Bangalore,439,FRAUD,43,F,Knife,Other Crime,3,Yes,2020-03-20 11:00:00,1,18.0,Adult
745,746,2020-03-02 16:00:00,2020-02-01 01:00:00,02-02-20 0:22,Delhi,242,FRAUD,12,F,Other,Other Crime,16,Yes,2020-07-04 16:00:00,1,124.0,Minor
747,748,2020-03-02 14:00:00,2020-02-01 03:00:00,01-02-20 22:14,Agra,317,BURGLARY,22,F,Blunt Object,Other Crime,19,Yes,2020-04-07 14:00:00,1,36.0,Young Adult
751,752,2020-03-02 17:00:00,2020-02-01 07:00:00,01-02-20 14:04,Ahmedabad,339,ASSAULT,37,F,Explosives,Violent Crime,1,No,,0,,Adult
752,753,2020-03-02 01:00:00,2020-02-01 08:00:00,01-02-20 9:13,Hyderabad,357,ILLEGAL POSSESSION,20,F,Other,Other Crime,16,Yes,2020-03-29 01:00:00,1,27.0,Young Adult
753,754,2020-03-02 09:00:00,2020-02-01 09:00:00,01-02-20 17:29,Mumbai,173,VEHICLE - STOLEN,66,F,Poison,Violent Crime,8,Yes,2020-04-13 09:00:00,1,42.0,Senior
754,755,2020-01-02 12:00:00,2020-02-01 10:00:00,02-02-20 6:03,Delhi,471,FRAUD,14,F,UNKNOWN,Other Crime,12,Yes,2020-02-14 12:00:00,1,43.0,Minor
755,756,2020-03-02 11:00:00,2020-02-01 11:00:00,02-02-20 10:30,Delhi,204,DOMESTIC VIOLENCE,50,F,UNKNOWN,Violent Crime,7,Yes,2020-02-18 11:00:00,1,-13.0,Middle Aged
756,757,2020-03-02 11:00:00,2020-02-01 12:00:00,02-02-20 5:34,Kolkata,375,CYBERCRIME,51,F,Other,Other Crime,9,Yes,2020-02-03 11:00:00,1,-28.0,Middle Aged
757,758,2020-02-02 12:00:00,2020-02-01 13:00:00,02-02-20 7:08,Lucknow,283,SHOPLIFTING,67,F,Firearm,Other Crime,2,No,,0,,Senior
758,759,2020-02-02 09:00:00,2020-02-01 14:00:00,02-02-20 2:07,Kanpur,146,KIDNAPPING,73,F,Explosives,Other Crime,11,Yes,2020-04-28 09:00:00,1,86.0,Senior
759,760,2020-03-02 20:00:00,2020-02-01 15:00:00,01-02-20 16:01,Nagpur,107,ROBBERY,31,F,Firearm,Violent Crime,3,No,,0,,Adult
761,762,2020-03-02 13:00:00,2020-02-01 17:00:00,01-02-20 20:09,Visakhapatnam,267,ARSON,46,F,UNKNOWN,Fire Accident,6,No,,0,,Middle Aged
762,763,2020-02-02 18:00:00,2020-02-01 18:00:00,02-02-20 2:16,Mumbai,411,IDENTITY THEFT,30,F,Other,Violent Crime,8,No,,0,,Young Adult
763,764,2020-03-02 19:00:00,2020-02-01 19:00:00,02-02-20 16:40,Kanpur,503,COUNTERFEITING,73,F,UNKNOWN,Other Crime,5,No,,0,,Senior
764,765,2020-02-02 03:00:00,2020-02-01 20:00:00,02-02-20 11:27,Mumbai,383,IDENTITY THEFT,32,F,Blunt Object,Violent Crime,1,No,,0,,Adult
766,767,2020-02-02 03:00:00,2020-02-01 22:00:00,02-02-20 20:28,Chennai,129,ARSON,69,F,Knife,Fire Accident,5,Yes,2020-02-22 03:00:00,1,20.0,Senior
767,768,2020-04-02 03:00:00,2020-02-01 23:00:00,02-02-20 20:30,Chennai,258,TRAFFIC VIOLATION,43,F,Poison,Traffic Fatality,6,Yes,2020-02-03 03:00:00,1,-59.0,Adult
768,769,2020-04-02 05:00:00,2020-02-02 00:00:00,02-02-20 18:50,Thane,182,BURGLARY,47,F,Poison,Other Crime,16,No,,0,,Middle Aged
771,772,2020-02-02 13:00:00,2020-02-02 03:00:00,02-02-20 14:41,Mumbai,543,VANDALISM,51,F,Knife,Other Crime,11,Yes,2020-02-27 13:00:00,1,25.0,Middle Aged
772,773,2020-03-02 19:00:00,2020-02-02 04:00:00,02-02-20 15:08,Ludhiana,552,DRUG OFFENSE,25,F,Firearm,Other Crime,10,Yes,2020-02-19 19:00:00,1,-12.0,Young Adult
773,774,2020-05-02 04:00:00,2020-02-02 05:00:00,02-02-20 18:17,Delhi,334,FRAUD,34,F,Blunt Object,Other Crime,11,No,,0,,Adult
775,776,2020-02-02 08:00:00,2020-02-02 07:00:00,02-02-20 22:56,Bhopal,572,PUBLIC INTOXICATION,78,F,UNKNOWN,Other Crime,10,Yes,2020-02-21 08:00:00,1,19.0,Senior
776,777,2020-03-02 09:00:00,2020-02-02 08:00:00,02-02-20 17:03,Visakhapatnam,220,FRAUD,70,F,Explosives,Other Crime,1,Yes,2020-03-23 09:00:00,1,21.0,Senior
777,778,2020-04-02 20:00:00,2020-02-02 09:00:00,02-02-20 12:25,Hyderabad,108,FRAUD,12,F,Firearm,Other Crime,17,No,,0,,Minor
778,779,2020-04-02 02:00:00,2020-02-02 10:00:00,02-02-20 17:53,Delhi,155,FRAUD,15,F,Explosives,Other Crime,10,Yes,2020-04-22 02:00:00,1,20.0,Minor
779,780,2020-04-02 21:00:00,2020-02-02 11:00:00,03-02-20 6:45,Delhi,299,IDENTITY THEFT,54,F,Explosives,Violent Crime,7,No,,0,,Middle Aged
780,781,2020-04-02 22:00:00,2020-02-02 12:00:00,02-02-20 14:41,Kolkata,405,ILLEGAL POSSESSION,45,F,Knife,Other Crime,6,No,,0,,Adult
782,783,2020-03-02 12:00:00,2020-02-02 14:00:00,03-02-20 11:15,Delhi,241,DRUG OFFENSE,35,F,Knife,Other Crime,14,No,,0,,Adult
783,784,2020-04-02 09:00:00,2020-02-02 15:00:00,03-02-20 13:52,Kolkata,479,ILLEGAL POSSESSION,40,F,UNKNOWN,Other Crime,14,Yes,2020-02-16 09:00:00,1,-46.0,Adult
784,785,2020-02-02 22:00:00,2020-02-02 16:00:00,03-02-20 0:17,Hyderabad,406,DRUG OFFENSE,25,F,UNKNOWN,Other Crime,15,No,,0,,Young Adult
785,786,2020-03-02 03:00:00,2020-02-02 17:00:00,02-02-20 22:04,Mumbai,432,BURGLARY,44,F,Blunt Object,Other Crime,5,Yes,2020-06-13 03:00:00,1,103.0,Adult
786,787,2020-03-02 14:00:00,2020-02-02 18:00:00,03-02-20 2:10,Thane,427,FRAUD,52,F,Other,Other Crime,17,No,,0,,Middle Aged
789,790,2020-03-02 05:00:00,2020-02-02 21:00:00,03-02-20 17:51,Lucknow,530,ARSON,62,F,Poison,Fire Accident,7,Yes,2020-02-25 05:00:00,1,-6.0,Senior
790,791,2020-03-02 19:00:00,2020-02-02 22:00:00,03-02-20 2:46,Indore,480,VEHICLE - STOLEN,41,F,Firearm,Violent Crime,5,Yes,2020-10-04 19:00:00,1,216.0,Adult
792,793,2020-04-02 10:00:00,2020-02-03 00:00:00,03-02-20 11:16,Pune,441,FRAUD,19,F,Blunt Object,Other Crime,15,No,,0,,Young Adult
793,794,2020-05-02 15:00:00,2020-02-03 01:00:00,03-02-20 7:45,Bhopal,133,SEXUAL ASSAULT,12,F,Other,Violent Crime,12,No,,0,,Minor
795,796,2020-04-02 20:00:00,2020-02-03 03:00:00,04-02-20 0:33,Srinagar,447,KIDNAPPING,50,F,Explosives,Other Crime,3,No,,0,,Middle Aged
797,798,2020-03-02 06:00:00,2020-02-03 05:00:00,03-02-20 14:58,Lucknow,407,SHOPLIFTING,42,F,Poison,Other Crime,4,No,,0,,Adult
