,report_number,date_reported,date_of_occurrence,city,crime_domain,crime_description,victim_age,victim_age_group,victim_gender,weapon_used,police_deployed,case_closed_flag,case_resolution_days
3981,3982,2020-06-15 21:00:00,2020-06-14 21:00:00,Thane,Other Crime,VANDALISM,10,Minor,F,Other,4,1,42.0
3982,3983,2020-06-15 01:00:00,2020-06-14 22:00:00,Visakhapatnam,Other Crime,BURGLARY,68,Senior,F,Explosives,12,0,
3983,3984,2020-06-17 18:00:00,2020-06-14 23:00:00,Bangalore,Other Crime,ILLEGAL POSSESSION,25,Young Adult,F,Firearm,16,0,
3984,3985,2020-06-16 14:00:00,2020-06-15 00:00:00,Kolkata,Fire Accident,FIREARM OFFENSE,72,Senior,F,Blunt Object,8,0,
3985,3986,2020-06-16 11:00:00,2020-06-15 01:00:00,Delhi,Violent Crime,ASSAULT,50,Middle Aged,F,Other,7,1,71.0
3986,3987,2020-06-16 00:00:00,2020-06-15 02:00:00,Kanpur,Violent Crime,SEXUAL ASSAULT,28,Young Adult,M,Other,9,1,300.0
3987,3988,2020-06-15 16:00:00,2020-06-15 03:00:00,Delhi,Other Crime,COUNTERFEITING,60,Middle Aged,F,Blunt Object,3,1,145.0
3988,3989,2020-06-15 15:00:00,2020-06-15 04:00:00,Ahmedabad,Other Crime,SHOPLIFTING,39,Adult,F,Blunt Object,19,1,14.0
3989,3990,2020-06-17 14:00:00,2020-06-15 05:00:00,Nagpur,Other Crime,EXTORTION,69,Senior,M,Firearm,6,1,29.0
3990,3991,2020-06-17 22:00:00,2020-06-15 06:00:00,Chennai,Other Crime,CYBERCRIME,26,Young Adult,M,Explosives,17,0,
3991,3992,2020-06-17 21:00:00,2020-06-15 07:00:00,Ahmedabad,Other Crime,CYBERCRIME,71,Senior,F,Knife,13,1,-40.0
3992,3993,2020-06-16 18:00:00,2020-06-15 08:00:00,Lucknow,Other Crime,PUBLIC INTOXICATION,19,Young Adult,F,Poison,8,1,83.0
3993,3994,2020-06-17 05:00:00,2020-06-15 09:00:00,Kanpur,Other Crime,COUNTERFEITING,46,Middle Aged,F,Knife,12,1,61.0
3994,3995,2020-06-18 09:00:00,2020-06-15 10:00:00,Lucknow,Other Crime,FRAUD,35,Adult,M,Blunt Object,11,0,
3995,3996,2020-06-17 13:00:00,2020-06-15 11:00:00,Surat,Traffic Fatality,TRAFFIC VIOLATION,14,Minor,F,Poison,10,1,11.0
3996,3997,2020-06-17 02:00:00,2020-06-15 12:00:00,Hyderabad,Violent Crime,IDENTITY THEFT,70,Senior,M,Firearm,8,0,
3997,3998,2020-06-18 02:00:00,2020-06-15 13:00:00,Visakhapatnam,Other Crime,FRAUD,47,Middle Aged,F,Blunt Object,19,1,-70.0
3998,3999,2020-06-16 08:00:00,2020-06-15 14:00:00,Delhi,Other Crime,EXTORTION,31,Adult,F,Explosives,7,0,
3999,4000,2020-06-15 18:00:00,2020-06-15 15:00:00,Faridabad,Other Crime,ILLEGAL POSSESSION,30,Young Adult,F,Knife,14,0,
4000,4001,2020-06-17 08:00:00,2020-06-15 16:00:00,Bhopal,Violent Crime,SEXUAL ASSAULT,79,Senior,M,Other,11,0,
4001,4002,2020-06-17 13:00:00,2020-06-15 17:00:00,Ahmedabad,Other Crime,FRAUD,16,Minor,F,Knife,2,0,
4002,4003,2020-06-17 20:00:00,2020-06-15 18:00:00,Kolkata,Traffic Fatality,TRAFFIC VIOLATION,35,Adult,M,Explosives,17,0,
4003,4004,2020-06-18 09:00:00,2020-06-15 19:00:00,Bangalore,Other Crime,EXTORTION,56,Middle Aged,F,Blunt Object,12,0,
4004,4005,2020-06-17 18:00:00,2020-06-15 20:00:00,Kolkata,Violent Crime,VEHICLE - STOLEN,39,Adult,F,Other,8,1,11.0
4005,4006,2020-06-16 01:00:00,2020-06-15 21:00:00,Mumbai,Violent Crime,ROBBERY,20,Young Adult,M,Poison,8,0,
4006,4007,2020-06-17 19:00:00,2020-06-15 22:00:00,Kolkata,Other Crime,BURGLARY,52,Middle Aged,F,Firearm,12,1,-158.0
4007,4008,2020-06-17 11:00:00,2020-06-15 23:00:00,Ludhiana,Other Crime,COUNTERFEITING,52,Middle Aged,F,Blunt Object,16,1,34.0
4008,4009,2020-06-18 11:00:00,2020-06-16 00:00:00,Mumbai,Other Crime,COUNTERFEITING,33,Adult,M,Firearm,19,1,-162.0
4009,4010,2020-06-17 15:00:00,2020-06-16 01:00:00,Mumbai,Violent Crime,DOMESTIC VIOLENCE,66,Senior,M,Blunt Object,8,0,
4010,4011,2020-06-17 22:00:00,2020-06-16 02:00:00,Delhi,Violent Crime,ROBBERY,76,Senior,F,UNKNOWN,6,1,72.0
4011,4012,2020-06-16 16:00:00,2020-06-16 03:00:00,Bhopal,Fire Accident,ARSON,31,Adult,F,Knife,15,0,
4012,4013,2020-06-18 14:00:00,2020-06-16 04:00:00,Patna,Violent Crime,DOMESTIC VIOLENCE,27,Young Adult,M,Blunt Object,12,1,32.0
4013,4014,2020-06-17 00:00:00,2020-06-16 05:00:00,Visakhapatnam,Traffic Fatality,TRAFFIC VIOLATION,78,Senior,M,Firearm,2,1,8.0
4014,4015,2020-06-18 19:00:00,2020-06-16 06:00:00,Mumbai,Other Crime,BURGLARY,31,Adult,F,Other,12,0,
4015,4016,2020-06-17 01:00:00,2020-06-16 07:00:00,Bangalore,Fire Accident,FIREARM OFFENSE,59,Middle Aged,M,Explosives,2,1,-71.0
4016,4017,2020-06-18 06:00:00,2020-06-16 08:00:00,Indore,Other Crime,CYBERCRIME,31,Adult,F,Knife,9,0,
4017,4018,2020-06-19 06:00:00,2020-06-16 09:00:00,Pune,Other Crime,VANDALISM,22,Young Adult,F,Poison,2,1,57.0
4018,4019,2020-06-17 05:00:00,2020-06-16 10:00:00,Chennai,Other Crime,KIDNAPPING,65,Senior,F,Knife,9,1,65.0
4019,4020,2020-06-18 23:00:00,2020-06-16 11:00:00,Chennai,Other Crime,COUNTERFEITING,14,Minor,M,Knife,11,0,
4020,4021,2020-06-16 13:00:00,2020-06-16 12:00:00,Meerut,Other Crime,EXTORTION,68,Senior,M,Poison,11,0,
4021,4022,2020-06-16 23:00:00,2020-06-16 13:00:00,Patna,Traffic Fatality,TRAFFIC VIOLATION,55,Middle Aged,M,Knife,11,0,
4022,4023,2020-06-17 14:00:00,2020-06-16 14:00:00,Bangalore,Other Crime,ILLEGAL POSSESSION,28,Young Adult,M,Blunt Object,19,0,
4023,4024,2020-06-17 13:00:00,2020-06-16 15:00:00,Nagpur,Violent Crime,ASSAULT,35,Adult,M,Blunt Object,17,1,20.0
4024,4025,2020-06-18 17:00:00,2020-06-16 16:00:00,Mumbai,Other Crime,BURGLARY,68,Senior,F,Other,2,1,100.0
4025,4026,2020-06-19 16:00:00,2020-06-16 17:00:00,Mumbai,Violent Crime,IDENTITY THEFT,51,Middle Aged,M,UNKNOWN,7,1,72.0
4026,4027,2020-06-19 01:00:00,2020-06-16 18:00:00,Chennai,Other Crime,EXTORTION,31,Adult,F,Firearm,11,1,39.0
4027,4028,2020-06-16 20:00:00,2020-06-16 19:00:00,Surat,Violent Crime,DOMESTIC VIOLENCE,33,Adult,F,Knife,10,0,
4028,4029,2020-06-17 05:00:00,2020-06-16 20:00:00,Ahmedabad,Other Crime,SHOPLIFTING,73,Senior,F,UNKNOWN,1,0,
4029,4030,2020-06-18 07:00:00,2020-06-16 21:00:00,Ahmedabad,Fire Accident,ARSON,31,Adult,F,Poison,11,0,
4030,4031,2020-06-18 02:00:00,2020-06-16 22:00:00,Lucknow,Violent Crime,ASSAULT,33,Adult,M,Poison,11,0,
4031,4032,2020-06-17 19:00:00,2020-06-16 23:00:00,Pune,Fire Accident,FIREARM OFFENSE,38,Adult,F,Blunt Object,17,0,
4032,4033,2020-06-18 06:00:00,2020-06-17 00:00:00,Kolkata,Traffic Fatality,TRAFFIC VIOLATION,44,Adult,F,UNKNOWN,8,1,7.0
4033,4034,2020-06-17 12:00:00,2020-06-17 01:00:00,Patna,Fire Accident,FIREARM OFFENSE,28,Young Adult,F,Other,12,0,
4034,4035,2020-06-18 13:00:00,2020-06-17 02:00:00,Jaipur,Other Crime,DRUG OFFENSE,40,Adult,F,Firearm,9,0,
4035,4036,2020-06-17 06:00:00,2020-06-17 03:00:00,Kolkata,Violent Crime,ASSAULT,30,Young Adult,F,Blunt Object,3,1,-70.0
4036,4037,2020-06-17 08:00:00,2020-06-17 04:00:00,Bangalore,Violent Crime,ASSAULT,16,Minor,M,Explosives,2,1,11.0
4037,4038,2020-06-18 19:00:00,2020-06-17 05:00:00,Meerut,Violent Crime,ROBBERY,75,Senior,M,Poison,3,0,
4038,4039,2020-06-19 21:00:00,2020-06-17 06:00:00,Bangalore,Other Crime,CYBERCRIME,42,Adult,M,Blunt Object,13,0,
4039,4040,2020-06-18 10:00:00,2020-06-17 07:00:00,Bangalore,Other Crime,COUNTERFEITING,21,Young Adult,F,Poison,3,0,
4040,4041,2020-06-17 10:00:00,2020-06-17 08:00:00,Hyderabad,Other Crime,KIDNAPPING,22,Young Adult,F,Knife,16,0,
4041,4042,2020-06-20 02:00:00,2020-06-17 09:00:00,Bangalore,Other Crime,SHOPLIFTING,20,Young Adult,M,Other,10,0,
4042,4043,2020-06-18 21:00:00,2020-06-17 10:00:00,Nashik,Other Crime,EXTORTION,27,Young Adult,M,Blunt Object,8,0,
4043,4044,2020-06-17 13:00:00,2020-06-17 11:00:00,Mumbai,Other Crime,SHOPLIFTING,36,Adult,M,Knife,2,1,84.0
4044,4045,2020-06-17 21:00:00,2020-06-17 12:00:00,Pune,Other Crime,VANDALISM,78,Senior,M,Firearm,15,0,
4045,4046,2020-06-20 10:00:00,2020-06-17 13:00:00,Delhi,Traffic Fatality,TRAFFIC VIOLATION,35,Adult,F,Blunt Object,7,1,17.0
4046,4047,2020-06-19 15:00:00,2020-06-17 14:00:00,Chennai,Other Crime,EXTORTION,72,Senior,M,Other,13,1,32.0
4047,4048,2020-06-19 15:00:00,2020-06-17 15:00:00,Mumbai,Other Crime,HOMICIDE,22,Young Adult,F,Other,5,0,
4048,4049,2020-06-19 21:00:00,2020-06-17 16:00:00,Delhi,Traffic Fatality,TRAFFIC VIOLATION,24,Young Adult,F,UNKNOWN,18,1,-73.0
4049,4050,2020-06-19 11:00:00,2020-06-17 17:00:00,Mumbai,Traffic Fatality,TRAFFIC VIOLATION,73,Senior,F,Firearm,19,0,
4050,4051,2020-06-18 20:00:00,2020-06-17 18:00:00,Surat,Violent Crime,SEXUAL ASSAULT,76,Senior,F,Poison,18,0,
4051,4052,2020-06-18 00:00:00,2020-06-17 19:00:00,Pune,Other Crime,FRAUD,21,Young Adult,F,UNKNOWN,15,1,10.0
4052,4053,2020-06-18 14:00:00,2020-06-17 20:00:00,Visakhapatnam,Traffic Fatality,TRAFFIC VIOLATION,49,Middle Aged,M,Explosives,19,0,
4053,4054,2020-06-18 22:00:00,2020-06-17 21:00:00,Pune,Other Crime,CYBERCRIME,61,Senior,F,Explosives,5,0,
4054,4055,2020-06-20 00:00:00,2020-06-17 22:00:00,Visakhapatnam,Violent Crime,ROBBERY,21,Young Adult,F,Other,13,1,-130.0
4055,4056,2020-06-20 14:00:00,2020-06-17 23:00:00,Chennai,Other Crime,PUBLIC INTOXICATION,68,Senior,F,Other,13,1,9.0
4056,4057,2020-06-20 15:00:00,2020-06-18 00:00:00,Kolkata,Other Crime,COUNTERFEITING,78,Senior,F,Blunt Object,18,0,
4057,4058,2020-06-20 23:00:00,2020-06-18 01:00:00,Bangalore,Fire Accident,ARSON,21,Young Adult,F,Explosives,9,1,62.0
4058,4059,2020-06-19 01:00:00,2020-06-18 02:00:00,Nashik,Violent Crime,ASSAULT,60,Middle Aged,M,Firearm,14,0,
4059,4060,2020-06-19 12:00:00,2020-06-18 03:00:00,Indore,Violent Crime,SEXUAL ASSAULT,10,Minor,M,UNKNOWN,6,0,
4060,4061,2020-06-19 16:00:00,2020-06-18 04:00:00,Pune,Traffic Fatality,TRAFFIC VIOLATION,18,Young Adult,F,Blunt Object,9,0,
4061,4062,2020-06-18 23:00:00,2020-06-18 05:00:00,Srinagar,Other Crime,ILLEGAL POSSESSION,16,Minor,F,Blunt Object,13,1,9.0
4062,4063,2020-06-19 17:00:00,2020-06-18 06:00:00,Delhi,Other Crime,KIDNAPPING,48,Middle Aged,M,Poison,14,1,58.0
4063,4064,2020-06-21 02:00:00,2020-06-18 07:00:00,Ahmedabad,Other Crime,ILLEGAL POSSESSION,41,Adult,F,Blunt Object,1,0,
4064,4065,2020-06-19 20:00:00,2020-06-18 08:00:00,Lucknow,Other Crime,CYBERCRIME,25,Young Adult,M,Knife,16,0,
4065,4066,2020-06-20 22:00:00,2020-06-18 09:00:00,Bangalore,Other Crime,HOMICIDE,56,Middle Aged,M,Explosives,5,0,
4066,4067,2020-06-20 06:00:00,2020-06-18 10:00:00,Delhi,Other Crime,SHOPLIFTING,14,Minor,M,Blunt Object,18,1,80.0
4067,4068,2020-06-18 22:00:00,2020-06-18 11:00:00,Bangalore,Violent Crime,ROBBERY,62,Senior,M,Poison,2,0,
4068,4069,2020-06-21 08:00:00,2020-06-18 12:00:00,Jaipur,Other Crime,DRUG OFFENSE,78,Senior,F,Blunt Object,3,0,
4069,4070,2020-06-20 15:00:00,2020-06-18 13:00:00,Mumbai,Other Crime,ILLEGAL POSSESSION,77,Senior,M,Knife,3,1,10.0
4070,4071,2020-06-21 02:00:00,2020-06-18 14:00:00,Surat,Other Crime,DRUG OFFENSE,30,Young Adult,F,Other,17,0,
4071,4072,2020-06-18 20:00:00,2020-06-18 15:00:00,Kolkata,Other Crime,ILLEGAL POSSESSION,56,Middle Aged,M,Explosives,11,1,172.0
4072,4073,2020-06-20 11:00:00,2020-06-18 16:00:00,Kolkata,Violent Crime,VEHICLE - STOLEN,27,Young Adult,F,Knife,9,0,
4073,4074,2020-06-19 05:00:00,2020-06-18 17:00:00,Pune,Violent Crime,ASSAULT,21,Young Adult,F,Knife,12,1,10.0
4074,4075,2020-06-21 03:00:00,2020-06-18 18:00:00,Kolkata,Other Crime,DRUG OFFENSE,17,Minor,F,Blunt Object,18,1,26.0
4075,4076,2020-06-20 10:00:00,2020-06-18 19:00:00,Bangalore,Other Crime,VANDALISM,62,Senior,M,Explosives,15,0,
4076,4077,2020-06-19 21:00:00,2020-06-18 20:00:00,Surat,Violent Crime,DOMESTIC VIOLENCE,33,Adult,M,Firearm,16,0,
4077,4078,2020-06-21 14:00:00,2020-06-18 21:00:00,Varanasi,Fire Accident,ARSON,79,Senior,F,UNKNOWN,19,1,85.0
4078,4079,2020-06-21 16:00:00,2020-06-18 22:00:00,Bangalore,Violent Crime,IDENTITY THEFT,36,Adult,M,Other,19,0,
4079,4080,2020-06-20 06:00:00,2020-06-18 23:00:00,Bangalore,Violent Crime,ROBBERY,24,Young Adult,M,Other,2,1,156.0
4080,4081,2020-06-21 02:00:00,2020-06-19 00:00:00,Vasai,Other Crime,COUNTERFEITING,13,Minor,F,Explosives,8,0,
4081,4082,2020-06-21 16:00:00,2020-06-19 01:00:00,Thane,Other Crime,EXTORTION,17,Minor,F,Firearm,4,0,
4082,4083,2020-06-21 23:00:00,2020-06-19 02:00:00,Rajkot,Other Crime,HOMICIDE,43,Adult,M,Explosives,12,1,302.0
4083,4084,2020-06-20 16:00:00,2020-06-19 03:00:00,Bangalore,Violent Crime,ROBBERY,17,Minor,F,UNKNOWN,9,0,
4084,4085,2020-06-20 04:00:00,2020-06-19 04:00:00,Pune,Other Crime,EXTORTION,63,Senior,F,Explosives,9,0,
4085,4086,2020-06-20 02:00:00,2020-06-19 05:00:00,Bangalore,Other Crime,HOMICIDE,51,Middle Aged,F,Poison,1,1,662.0
4086,4087,2020-06-20 14:00:00,2020-06-19 06:00:00,Agra,Violent Crime,ROBBERY,27,Young Adult,M,Poison,4,0,
4087,4088,2020-06-19 11:00:00,2020-06-19 07:00:00,Kolkata,Other Crime,SHOPLIFTING,67,Senior,F,Poison,6,0,
4088,4089,2020-06-21 02:00:00,2020-06-19 08:00:00,Patna,Other Crime,ILLEGAL POSSESSION,13,Minor,F,Firearm,5,0,
4089,4090,2020-06-20 15:00:00,2020-06-19 09:00:00,Ludhiana,Fire Accident,FIREARM OFFENSE,76,Senior,F,Knife,12,0,
4090,4091,2020-06-22 04:00:00,2020-06-19 10:00:00,Delhi,Violent Crime,SEXUAL ASSAULT,76,Senior,F,Poison,7,1,398.0
4091,4092,2020-06-19 22:00:00,2020-06-19 11:00:00,Chennai,Other Crime,BURGLARY,14,Minor,M,Other,18,1,125.0
4092,4093,2020-06-21 23:00:00,2020-06-19 12:00:00,Surat,Violent Crime,DOMESTIC VIOLENCE,60,Middle Aged,F,Knife,16,1,25.0
4093,4094,2020-06-22 10:00:00,2020-06-19 13:00:00,Indore,Other Crime,EXTORTION,13,Minor,F,Explosives,7,1,138.0
4094,4095,2020-06-20 20:00:00,2020-06-19 14:00:00,Mumbai,Violent Crime,DOMESTIC VIOLENCE,78,Senior,M,Poison,18,0,
4095,4096,2020-06-20 11:00:00,2020-06-19 15:00:00,Delhi,Other Crime,EXTORTION,33,Adult,M,Other,11,1,140.0
4096,4097,2020-06-20 22:00:00,2020-06-19 16:00:00,Kolkata,Other Crime,DRUG OFFENSE,55,Middle Aged,M,Firearm,1,0,
4097,4098,2020-06-22 06:00:00,2020-06-19 17:00:00,Kolkata,Other Crime,EXTORTION,58,Middle Aged,F,UNKNOWN,3,0,
4098,4099,2020-06-21 15:00:00,2020-06-19 18:00:00,Pune,Other Crime,KIDNAPPING,51,Middle Aged,F,Other,5,1,9.0
4099,4100,2020-06-21 00:00:00,2020-06-19 19:00:00,Mumbai,Other Crime,DRUG OFFENSE,19,Young Adult,F,Poison,16,0,
4100,4101,2020-06-21 05:00:00,2020-06-19 20:00:00,Hyderabad,Other Crime,COUNTERFEITING,31,Adult,F,Explosives,7,0,
4101,4102,2020-06-21 13:00:00,2020-06-19 21:00:00,Kolkata,Violent Crime,ROBBERY,20,Young Adult,F,Knife,1,1,59.0
4102,4103,2020-06-20 12:00:00,2020-06-19 22:00:00,Visakhapatnam,Other Crime,BURGLARY,54,Middle Aged,F,UNKNOWN,15,0,
4103,4104,2020-06-22 11:00:00,2020-06-19 23:00:00,Pune,Violent Crime,ROBBERY,26,Young Adult,M,UNKNOWN,7,1,128.0
4104,4105,2020-06-21 07:00:00,2020-06-20 00:00:00,Jaipur,Violent Crime,IDENTITY THEFT,76,Senior,M,Firearm,10,1,8.0
4105,4106,2020-06-21 08:00:00,2020-06-20 01:00:00,Bangalore,Violent Crime,DOMESTIC VIOLENCE,40,Adult,F,Firearm,17,0,
4106,4107,2020-06-21 11:00:00,2020-06-20 02:00:00,Delhi,Other Crime,SHOPLIFTING,30,Young Adult,M,Blunt Object,1,0,
4107,4108,2020-06-20 05:00:00,2020-06-20 03:00:00,Hyderabad,Other Crime,FRAUD,32,Adult,M,Blunt Object,4,1,31.0
4108,4109,2020-06-20 07:00:00,2020-06-20 04:00:00,Mumbai,Violent Crime,IDENTITY THEFT,59,Middle Aged,M,Blunt Object,18,0,
4109,4110,2020-06-21 15:00:00,2020-06-20 05:00:00,Indore,Other Crime,CYBERCRIME,57,Middle Aged,F,Knife,14,0,
4110,4111,2020-06-20 22:00:00,2020-06-20 06:00:00,Hyderabad,Fire Accident,ARSON,48,Middle Aged,M,Other,13,1,59.0
4111,4112,2020-06-22 09:00:00,2020-06-20 07:00:00,Delhi,Other Crime,EXTORTION,31,Adult,M,Poison,9,0,
4112,4113,2020-06-21 19:00:00,2020-06-20 08:00:00,Mumbai,Other Crime,ILLEGAL POSSESSION,59,Middle Aged,F,Knife,6,0,
4113,4114,2020-06-21 23:00:00,2020-06-20 09:00:00,Delhi,Fire Accident,ARSON,60,Middle Aged,F,Explosives,15,0,
4114,4115,2020-06-21 05:00:00,2020-06-20 10:00:00,Kanpur,Violent Crime,ASSAULT,57,Middle Aged,M,Blunt Object,1,0,
4115,4116,2020-06-22 01:00:00,2020-06-20 11:00:00,Delhi,Other Crime,COUNTERFEITING,21,Young Adult,M,UNKNOWN,15,1,-46.0
4116,4117,2020-06-20 16:00:00,2020-06-20 12:00:00,Hyderabad,Other Crime,BURGLARY,57,Middle Aged,M,Blunt Object,11,1,81.0
4117,4118,2020-06-22 12:00:00,2020-06-20 13:00:00,Delhi,Other Crime,CYBERCRIME,38,Adult,F,Knife,18,1,16.0
4118,4119,2020-06-22 04:00:00,2020-06-20 14:00:00,Surat,Violent Crime,IDENTITY THEFT,44,Adult,F,Explosives,18,0,
4119,4120,2020-06-21 19:00:00,2020-06-20 15:00:00,Ahmedabad,Other Crime,SHOPLIFTING,79,Senior,M,Poison,17,1,85.0
4120,4121,2020-06-20 18:00:00,2020-06-20 16:00:00,Mumbai,Other Crime,BURGLARY,61,Senior,F,Firearm,2,1,59.0
4121,4122,2020-06-21 12:00:00,2020-06-20 17:00:00,Kolkata,Other Crime,COUNTERFEITING,74,Senior,F,UNKNOWN,10,0,
4122,4123,2020-06-22 12:00:00,2020-06-20 18:00:00,Mumbai,Other Crime,VANDALISM,34,Adult,F,Poison,19,0,
4123,4124,2020-06-23 08:00:00,2020-06-20 19:00:00,Mumbai,Other Crime,COUNTERFEITING,78,Senior,F,Poison,17,1,89.0
4124,4125,2020-06-21 07:00:00,2020-06-20 20:00:00,Ahmedabad,Other Crime,ILLEGAL POSSESSION,38,Adult,F,Firearm,19,1,78.0
4125,4126,2020-06-22 22:00:00,2020-06-20 21:00:00,Indore,Other Crime,FRAUD,56,Middle Aged,F,Poison,1,1,37.0
4126,4127,2020-06-21 07:00:00,2020-06-20 22:00:00,Jaipur,Other Crime,SHOPLIFTING,13,Minor,M,UNKNOWN,19,0,
4127,4128,2020-06-22 00:00:00,2020-06-20 23:00:00,Kolkata,Violent Crime,VEHICLE - STOLEN,56,Middle Aged,F,Poison,12,0,
4128,4129,2020-06-22 16:00:00,2020-06-21 00:00:00,Surat,Other Crime,FRAUD,57,Middle Aged,F,Knife,13,0,
4129,4130,2020-06-23 23:00:00,2020-06-21 01:00:00,Thane,Other Crime,CYBERCRIME,39,Adult,M,Other,4,0,
4130,4131,2020-06-22 01:00:00,2020-06-21 02:00:00,Delhi,Other Crime,HOMICIDE,38,Adult,M,Firearm,19,1,323.0
4131,4132,2020-06-21 07:00:00,2020-06-21 03:00:00,Bangalore,Other Crime,VANDALISM,23,Young Adult,M,Blunt Object,19,0,
4132,4133,2020-06-23 18:00:00,2020-06-21 04:00:00,Jaipur,Other Crime,ILLEGAL POSSESSION,39,Adult,M,Poison,13,1,-108.0
4133,4134,2020-06-22 02:00:00,2020-06-21 05:00:00,Kolkata,Other Crime,KIDNAPPING,25,Young Adult,F,Other,16,1,-74.0
4134,4135,2020-06-24 04:00:00,2020-06-21 06:00:00,Delhi,Violent Crime,DOMESTIC VIOLENCE,64,Senior,F,Other,6,0,
4135,4136,2020-06-22 22:00:00,2020-06-21 07:00:00,Mumbai,Violent Crime,VEHICLE - STOLEN,54,Middle Aged,M,Explosives,6,1,63.0
4136,4137,2020-06-23 02:00:00,2020-06-21 08:00:00,Ahmedabad,Other Crime,COUNTERFEITING,41,Adult,F,Blunt Object,11,0,
4137,4138,2020-06-23 22:00:00,2020-06-21 09:00:00,Varanasi,Other Crime,BURGLARY,24,Young Adult,F,Firearm,2,0,
4138,4139,2020-06-24 03:00:00,2020-06-21 10:00:00,Ludhiana,Violent Crime,ASSAULT,40,Adult,F,Blunt Object,2,0,
4139,4140,2020-06-21 16:00:00,2020-06-21 11:00:00,Hyderabad,Violent Crime,SEXUAL ASSAULT,53,Middle Aged,F,UNKNOWN,6,1,415.0
4140,4141,2020-06-22 15:00:00,2020-06-21 12:00:00,Nagpur,Violent Crime,SEXUAL ASSAULT,28,Young Adult,F,Blunt Object,17,1,609.0
4141,4142,2020-06-23 07:00:00,2020-06-21 13:00:00,Delhi,Other Crime,CYBERCRIME,35,Adult,F,Other,11,1,65.0
4142,4143,2020-06-22 21:00:00,2020-06-21 14:00:00,Ahmedabad,Violent Crime,SEXUAL ASSAULT,72,Senior,M,Other,5,1,519.0
4143,4144,2020-06-24 13:00:00,2020-06-21 15:00:00,Hyderabad,Other Crime,PUBLIC INTOXICATION,10,Minor,F,Knife,8,1,105.0
4144,4145,2020-06-24 04:00:00,2020-06-21 16:00:00,Hyderabad,Other Crime,BURGLARY,49,Middle Aged,F,Blunt Object,19,0,
4145,4146,2020-06-22 05:00:00,2020-06-21 17:00:00,Pune,Violent Crime,ASSAULT,30,Young Adult,F,Blunt Object,11,0,
4146,4147,2020-06-22 20:00:00,2020-06-21 18:00:00,Bangalore,Other Crime,EXTORTION,10,Minor,M,UNKNOWN,7,0,
4147,4148,2020-06-24 10:00:00,2020-06-21 19:00:00,Visakhapatnam,Violent Crime,IDENTITY THEFT,18,Young Adult,F,Firearm,17,1,89.0
4148,4149,2020-06-23 23:00:00,2020-06-21 20:00:00,Mumbai,Other Crime,HOMICIDE,56,Middle Aged,F,Firearm,17,0,
4149,4150,2020-06-22 10:00:00,2020-06-21 21:00:00,Kolkata,Violent Crime,IDENTITY THEFT,48,Middle Aged,F,Knife,19,1,60.0
4150,4151,2020-06-23 00:00:00,2020-06-21 22:00:00,Bangalore,Other Crime,COUNTERFEITING,41,Adult,F,Knife,19,0,
4151,4152,2020-06-22 18:00:00,2020-06-21 23:00:00,Hyderabad,Other Crime,BURGLARY,39,Adult,F,Knife,16,0,
4152,4153,2020-06-24 14:00:00,2020-06-22 00:00:00,Jaipur,Violent Crime,IDENTITY THEFT,49,Middle Aged,M,Firearm,7,0,
4153,4154,2020-06-24 01:00:00,2020-06-22 01:00:00,Ghaziabad,Traffic Fatality,TRAFFIC VIOLATION,30,Young Adult,F,Explosives,6,0,
4154,4155,2020-06-22 03:00:00,2020-06-22 02:00:00,Surat,Fire Accident,FIREARM OFFENSE,48,Middle Aged,F,Blunt Object,19,1,33.0
4155,4156,2020-06-23 00:00:00,2020-06-22 03:00:00,Hyderabad,Other Crime,FRAUD,31,Adult,F,UNKNOWN,13,1,29.0
4156,4157,2020-06-24 22:00:00,2020-06-22 04:00:00,Bangalore,Fire Accident,ARSON,62,Senior,F,Knife,6,1,-136.0
4157,4158,2020-06-23 22:00:00,2020-06-22 05:00:00,Jaipur,Other Crime,ILLEGAL POSSESSION,57,Middle Aged,F,Knife,10,0,
4158,4159,2020-06-24 00:00:00,2020-06-22 06:00:00,Delhi,Violent Crime,VEHICLE - STOLEN,57,Middle Aged,F,UNKNOWN,4,1,54.0
4159,4160,2020-06-23 10:00:00,2020-06-22 07:00:00,Pune,Other Crime,CYBERCRIME,47,Middle Aged,F,Firearm,12,1,55.0
4160,4161,2020-06-24 10:00:00,2020-06-22 08:00:00,Jaipur,Fire Accident,ARSON,70,Senior,M,Blunt Object,13,1,-76.0
4161,4162,2020-06-23 09:00:00,2020-06-22 09:00:00,Ahmedabad,Other Crime,KIDNAPPING,67,Senior,F,Knife,14,1,77.0
4162,4163,2020-06-23 07:00:00,2020-06-22 10:00:00,Lucknow,Violent Crime,VEHICLE - STOLEN,72,Senior,F,Blunt Object,9,1,55.0
4163,4164,2020-06-23 11:00:00,2020-06-22 11:00:00,Ahmedabad,Other Crime,PUBLIC INTOXICATION,28,Young Adult,F,Knife,2,0,
4164,4165,2020-06-22 13:00:00,2020-06-22 12:00:00,Delhi,Violent Crime,ROBBERY,18,Young Adult,F,UNKNOWN,12,1,155.0
4165,4166,2020-06-23 14:00:00,2020-06-22 13:00:00,Delhi,Other Crime,ILLEGAL POSSESSION,75,Senior,F,Poison,8,0,
4166,4167,2020-06-22 16:00:00,2020-06-22 14:00:00,Ahmedabad,Other Crime,HOMICIDE,23,Young Adult,F,Poison,14,0,
